I (237755) mpu6050 stream: AX:-0.159 AY:0.077 AZ:-0.947 | GX:0.076 GY:-0.229 GZ:1.008 | T:25.24 C
I (237765) mpu6050 stream: AX:-0.160 AY:0.077 AZ:-0.943 | GX:-0.977 GY:-0.260 GZ:1.008 | T:25.24 C
I (237775) mpu6050 stream: AX:-0.156 AY:0.081 AZ:-0.941 | GX:-1.160 GY:-0.229 GZ:1.023 | T:25.24 C
I (237785) mpu6050 stream: AX:-0.165 AY:0.086 AZ:-0.957 | GX:-0.626 GY:-0.198 GZ:1.160 | T:25.24 C
I (237795) mpu6050 stream: AX:-0.168 AY:0.086 AZ:-0.939 | GX:0.229 GY:-0.076 GZ:1.344 | T:25.24 C
I (237805) mpu6050 stream: AX:-0.156 AY:0.085 AZ:-0.941 | GX:0.595 GY:-0.153 GZ:1.542 | T:25.24 C
I (237815) mpu6050 stream: AX:-0.159 AY:0.081 AZ:-0.934 | GX:0.458 GY:-0.305 GZ:1.450 | T:25.24 C
I (237825) mpu6050 stream: AX:-0.157 AY:0.081 AZ:-0.951 | GX:0.229 GY:-0.107 GZ:1.710 | T:25.14 C
I (237835) mpu6050 stream: AX:-0.158 AY:0.079 AZ:-0.947 | GX:-0.321 GY:-0.137 GZ:1.405 | T:25.14 C
I (237845) mpu6050 stream: AX:-0.163 AY:0.079 AZ:-0.950 | GX:-0.473 GY:0.198 GZ:1.389 | T:25.24 C
I (237855) mpu6050 stream: AX:-0.156 AY:0.074 AZ:-0.946 | GX:-0.550 GY:0.473 GZ:1.298 | T:25.24 C
I (237865) mpu6050 stream: AX:-0.156 AY:0.084 AZ:-0.942 | GX:-0.366 GY:0.626 GZ:1.237 | T:25.24 C
I (237875) mpu6050 stream: AX:-0.158 AY:0.087 AZ:-0.941 | GX:-0.260 GY:0.656 GZ:1.145 | T:25.24 C
I (237885) mpu6050 stream: AX:-0.154 AY:0.079 AZ:-0.937 | GX:-0.122 GY:0.290 GZ:0.992 | T:25.24 C
I (237895) mpu6050 stream: AX:-0.147 AY:0.083 AZ:-0.942 | GX:0.290 GY:-0.198 GZ:0.947 | T:25.24 C
I (237905) mpu6050 stream: AX:-0.156 AY:0.084 AZ:-0.947 | GX:0.137 GY:-0.382 GZ:0.656 | T:25.24 C
I (237915) mpu6050 stream: AX:-0.162 AY:0.078 AZ:-0.955 | GX:-0.183 GY:0.290 GZ:0.916 | T:25.24 C
I (237925) mpu6050 stream: AX:-0.163 AY:0.079 AZ:-0.951 | GX:-0.229 GY:0.885 GZ:0.733 | T:25.24 C
I (237935) mpu6050 stream: AX:-0.166 AY:0.086 AZ:-0.956 | GX:-0.321 GY:1.008 GZ:0.977 | T:25.24 C
I (237945) mpu6050 stream: AX:-0.162 AY:0.085 AZ:-0.948 | GX:0.076 GY:1.053 GZ:0.901 | T:25.24 C
I (237955) mpu6050 stream: AX:-0.159 AY:0.084 AZ:-0.952 | GX:0.595 GY:0.947 GZ:0.977 | T:25.24 C
I (237965) mpu6050 stream: AX:-0.161 AY:0.085 AZ:-0.958 | GX:1.038 GY:1.084 GZ:1.252 | T:25.24 C
I (237975) mpu6050 stream: AX:-0.162 AY:0.081 AZ:-0.947 | GX:1.191 GY:1.115 GZ:1.221 | T:25.24 C
I (237985) mpu6050 stream: AX:-0.154 AY:0.074 AZ:-0.948 | GX:0.870 GY:1.221 GZ:1.206 | T:25.24 C
I (237995) mpu6050 stream: AX:-0.146 AY:0.077 AZ:-0.933 | GX:0.565 GY:0.977 GZ:1.252 | T:25.24 C
I (238005) mpu6050 stream: AX:-0.153 AY:0.071 AZ:-0.937 | GX:-0.321 GY:0.641 GZ:1.130 | T:25.24 C
I (238015) mpu6050 stream: AX:-0.146 AY:0.083 AZ:-0.936 | GX:-0.489 GY:0.229 GZ:0.931 | T:25.14 C
I (238025) mpu6050 stream: AX:-0.152 AY:0.084 AZ:-0.945 | GX:-0.672 GY:-0.321 GZ:1.053 | T:25.33 C
I (238035) mpu6050 stream: AX:-0.150 AY:0.085 AZ:-0.952 | GX:-0.244 GY:-0.397 GZ:0.9pu6050 stream: AX:-0.152 AY:0.080 AZ:-0.946 | GX:-0.366 GY:-0.092 GZ:0.626 | T:25.28 C
I (238355) mpu6050 stream: AX:-0.151 AY:0.078 AZ:-0.941 | GX:-0.275 GY:-0.061 GZ:0.626 | T:25.28 C
I (238365) mpu6050 stream: AX:-0.156 AY:0.083 AZ:-0.930 | GX:-0.092 GY:-0.198 GZ:0.611 | T:25.28 C
I (238375) mpu6050 stream: AX:-0.146 AY:0.079 AZ:-0.943 | GX:0.031 GY:-0.534 GZ:0.611 | T:25.28 C
I (238385) mpu6050 stream: AX:-0.160 AY:0.081 AZ:-0.937 | GX:-0.153 GY:-0.733 GZ:0.840 | T:25.38 C
I (238395) mpu6050 stream: AX:-0.153 AY:0.078 AZ:-0.946 | GX:-0.137 GY:-0.656 GZ:0.733 | T:25.19 C
I (238405) mpu6050 stream: AX:-0.163 AY:0.084 AZ:-0.944 | GX:-0.244 GY:-0.748 GZ:1.053 | T:25.28 C
