I (464025) mpu6050 stream: AX:-0.071 AY:0.086 AZ:-0.971 | GX:-0.840 GY:-0.397 GZ:0.611 | T:25.05 C
I (464035) mpu6050 stream: AX:-0.075 AY:0.093 AZ:-0.964 | GX:-0.153 GY:-0.198 GZ:1.099 | T:25.09 C
I (464045) mpu6050 stream: AX:-0.073 AY:0.085 AZ:-0.964 | GX:0.504 GY:0.214 GZ:1.496 | T:25.14 C
I (464055) mpu6050 stream: AX:-0.074 AY:0.077 AZ:-0.963 | GX:0.855 GY:0.580 GZ:1.679 | T:25.05 C
I (464065) mpu6050 stream: AX:-0.074 AY:0.070 AZ:-0.955 | GX:0.550 GY:0.809 GZ:1.557 | T:25.14 C
I (464075) mpu6050 stream: AX:-0.070 AY:0.070 AZ:-0.960 | GX:0.137 GY:0.779 GZ:1.649 | T:25.14 C
I (464085) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.950 | GX:-0.626 GY:0.366 GZ:1.603 | T:25.14 C
I (464095) mpu6050 stream: AX:-0.069 AY:0.075 AZ:-0.954 | GX:-0.656 GY:0.427 GZ:1.588 | T:25.14 C
I (464105) mpu6050 stream: AX:-0.066 AY:0.081 AZ:-0.949 | GX:-0.473 GY:0.183 GZ:1.725 | T:25.14 C
I (464115) mpu6050 stream: AX:-0.073 AY:0.075 AZ:-0.962 | GX:0.092 GY:0.031 GZ:2.168 | T:25.05 C
I (464125) mpu6050 stream: AX:-0.072 AY:0.074 AZ:-0.962 | GX:0.580 GY:0.031 GZ:1.924 | T:25.24 C
I (464135) mpu6050 stream: AX:-0.075 AY:0.075 AZ:-0.967 | GX:1.053 GY:0.137 GZ:2.183 | T:25.24 C
I (464145) mpu6050 stream: AX:-0.076 AY:0.071 AZ:-0.967 | GX:0.947 GY:0.183 GZ:1.969 | T:25.14 C
I (464155) mpu6050 stream: AX:-0.071 AY:0.078 AZ:-0.957 | GX:0.611 GY:0.595 GZ:1.740 | T:25.05 C
I (464165) mpu6050 stream: AX:-0.069 AY:0.066 AZ:-0.957 | GX:0.412 GY:0.366 GZ:1.786 | T:25.14 C
I (464175) mpu6050 stream: AX:-0.078 AY:0.066 AZ:-0.964 | GX:0.214 GY:0.458 GZ:1.710 | T:25.14 C
I (464185) mpu6050 stream: AX:-0.074 AY:0.074 AZ:-0.963 | GX:0.290 GY:0.443 GZ:1.542 | T:25.14 C
I (464195) mpu6050 stream: AX:-0.069 AY:0.076 AZ:-0.955 | GX:0.183 GY:0.550 GZ:1.618 | T:25.14 C
I (464205) mpu6050 stream: AX:-0.076 AY:0.070 AZ:-0.966 | GX:0.290 GY:0.489 GZ:1.527 | T:25.05 C
I (464215) mpu6050 stream: AX:-0.066 AY:0.076 AZ:-0.966 | GX:0.061 GY:0.198 GZ:1.511 | T:25.05 C
I (464225) mpu6050 stream: AX:-0.076 AY:0.076 AZ:-0.957 | GX:0.015 GY:0.763 GZ:1.618 | T:25.05 C
I (464235) mpu6050 stream: AX:-0.070 AY:0.072 AZ:-0.963 | GX:-0.046 GY:0.687 GZ:1.466 | T:25.14 C
