I (201415) mpu6050 stream: AX:-0.161 AY:0.093 AZ:-0.926 | GX:-0.611 GY:-0.580 GZ:0.763 | T:25.24 C
I (201425) mpu6050 stream: AX:-0.160 AY:0.093 AZ:-0.945 | GX:-0.336 GY:-0.931 GZ:0.534 | T:25.24 C
I (201435) mpu6050 stream: AX:-0.173 AY:0.094 AZ:-0.939 | GX:-0.580 GY:-1.160 GZ:0.366 | T:25.14 C
I (201445) mpu6050 stream: AX:-0.160 AY:0.097 AZ:-0.951 | GX:-0.443 GY:-1.099 GZ:0.336 | T:25.14 C
I (201455) mpu6050 stream: AX:-0.169 AY:0.091 AZ:-0.946 | GX:-0.260 GY:-1.237 GZ:0.137 | T:25.24 C
I (201465) mpu6050 stream: AX:-0.173 AY:0.093 AZ:-0.954 | GX:-0.351 GY:-0.809 GZ:0.305 | T:25.14 C
I (201475) mpu6050 stream: AX:-0.172 AY:0.091 AZ:-0.943 | GX:-0.458 GY:-0.168 GZ:0.336 | T:25.24 C
I (201485) mpu6050 stream: AX:-0.171 AY:0.099 AZ:-0.948 | GX:-0.885 GY:0.046 GZ:0.626 | T:25.24 C
I (201495) mpu6050 stream: AX:-0.166 AY:0.100 AZ:-0.947 | GX:-1.023 GY:0.137 GZ:0.489 | T:25.14 C
I (201505) mpu6050 stream: AX:-0.162 AY:0.100 AZ:-0.949 | GX:-0.794 GY:0.168 GZ:0.580 | T:25.24 C
I (201515) mpu6050 stream: AX:-0.162 AY:0.101 AZ:-0.934 | GX:-0.168 GY:-0.107 GZ:0.840 | T:25.14 C
I (201525) mpu6050 stream: AX:-0.167 AY:0.099 AZ:-0.946 | GX:0.504 GY:0.031 GZ:0.885 | T:25.24 C
I (201535) mpu6050 stream: AX:-0.166 AY:0.088 AZ:-0.935 | GX:0.748 GY:-0.122 GZ:1.099 | T:25.24 C
I (201545) mpu6050 stream: AX:-0.170 AY:0.085 AZ:-0.946 | GX:0.275 GY:0.183 GZ:0.977 | T:25.24 C
I (201555) mpu6050 stream: AX:-0.167 AY:0.091 AZ:-0.943 | GX:-0.473 GY:0.321 GZ:0.885 | T:25.24 C
I (201565) mpu6050 stream: AX:-0.166 AY:0.095 AZ:-0.937 | GX:-0.855 GY:0.031 GZ:0.931 | T:25.14 C
I (201575) mpu6050 stream: AX:-0.166 AY:0.102 AZ:-0.937 | GX:-0.794 GY:-0.122 GZ:0.962 | T:25.24 C
I (201585) mpu6050 stream: AX:-0.165 AY:0.097 AZ:-0.938 | GX:-0.580 GY:0.000 GZ:0.931 | T:25.24 C
I (201595) mpu6050 stream: AX:-0.162 AY:0.105 AZ:-0.944 | GX:0.183 GY:0.015 GZ:1.267 | T:25.24 C
I (201605) mpu6050 stream: AX:-0.159 AY:0.103 AZ:-0.948 | GX:0.763 GY:0.000 GZ:1.313 | T:25.24 C
I (201615) mpu6050 stream: AX:-0.166 AY:0.101 AZ:-0.931 | GX:0.916 GY:-0.092 GZ:1.237 | T:25.14 C
I (201625) mpu6050 stream: AX:-0.166 AY:0.095 AZ:-0.944 | GX:0.809 GY:-0.321 GZ:1.130 | T:25.24 C
I (201635) mpu6050 stream: AX:-0.167 AY:0.096 AZ:-0.936 | GX:0.534 GY:-0.519 GZ:1.282 | T:25.24 C
I (201645) mpu6050 stream: AX:-0.159 AY:0.099 AZ:-0.929 | GX:0.366 GY:-0.565 GZ:1.435 | T:25.24 C
I (201655) mpu6050 stream: AX:-0.160 AY:0.095 AZ:-0.935 | GX:0.351 GY:-1.160 GZ:1.679 | T:25.14 C
I (201665) mpu6050 stream: AX:-0.166 AY:0.096 AZ:-0.944 | GX:0.198 GY:-1.344 GZ:1.802 | T:25.24 C
I (201675) mpu6050 stream: AX:-0.175 AY:0.093 AZ:-0.943 | GX:0.122 GY:-0.947 GZ:2.092 | T:25.28 C
I (201685) mpu6050 stream: AX:-0.169 AY:0.093 AZ:-0.952 | GX:0.076 GY:-0.305 GZ:1.939 | T:25.19 C
I (201695) mpu6050 stream: AX:-0.180 AY:0.092 AZ:-0.947 | GX:0.458 GY:-0.275 GZ:1.908 | T:25.19 C
I (201705) mpu6050 stream: AX:-0.182 AY:0.090 AZ:-0.956 | GX:0.412 GY:0.519 GZ:2.046 | T:25.19 C
I (201715) mpu6050 stream: AX:-0.173 AY:0.089 AZ:-0.945 | GX:0.580 GY:0.504 GZ:2.015 | T:25.19 C
I (201725) mpu6050 stream: AX:-0.165 AY:0.091 AZ:-0.943 | GX:0.458 GY:0.763 GZ:1.893 | T:25.19 C
I (201735) mpu6050 stream: AX:-0.167 AY:0.092 AZ:-0.937 | GX:0.366 GY:0.931 GZ:1.969 | T:25.19 C
I (201745) mpu6050 stream: AX:-0.162 AY:0.093 AZ:-0.927 | GX:0.107 GY:0.870 GZ:1.802 | T:25.28 C
I (201755) mpu6050 stream: AX:-0.166 AY:0.088 AZ:-0.941 | GX:-0.092 GY:0.489 GZ:1.710 | T:25.28 C
I (201765) mpu6050 stream: AX:-0.164 AY:0.087 AZ:-0.946 | GX:-0.137 GY:0.305 GZ:1.481 | T:25.19 C
I (201775) mpu6050 stream: AX:-0.163 AY:0.089 AZ:-0.937 | GX:-0.290 GY:0.168 GZ:1.557 | T:25.19 C
I (201785) mpu6050 stream: AX:-0.169 AY:0.083 AZ:-0.939 | GX:-0.733 GY:-0.092 GZ:1.405 | T:25.28 C
I (201795) mpu6050 stream: AX:-0.171 AY:0.089 AZ:-0.948 | GX:-0.855 GY:-0.244 GZ:1.130 | T:25.19 C
I (201805) mpu6050 stream: AX:-0.168 AY:0.086 AZ:-0.945 | GX:-1.130 GY:0.290 GZ:1.237 | T:25.19 C
I (201815) mpu6050 stream: AX:-0.170 AY:0.090 AZ:-0.951 | GX:-0.748 GY:0.550 GZ:1.099 | T:25.28 C
I (201825) mpu6050 stream: AX:-0.167 AY:0.094 AZ:-0.948 | GX:-0.519 GY:0.702 GZ:0.977 | T:25.19 C
I (201835) mpu6050 stream: AX:-0.167 AY:0.094 AZ:-0.944 | GX:-0.305 GY:0.809 GZ:0.840 | T:25.19 C
I (201845) mpu6050 stream: AX:-0.163 AY:0.094 AZ:-0.955 | GX:0.031 GY:1.130 GZ:0.718 | T:25.19 C
I (201855) mpu6050 stream: AX:-0.160 AY:0.091 AZ:-0.934 | GX:-0.305 GY:0.611 GZ:0.687 | T:25.24 C
I (201865) mpu6050 stream: AX:-0.158 AY:0.097 AZ:-0.929 | GX:-0.382 GY:0.198 GZ:0.733 | T:25.24 C
I (201875) mpu6050 stream: AX:-0.159 AY:0.099 AZ:-0.938 | GX:-0.427 GY:-0.305 GZ:0.519 | T:25.14 C
I (201885) mpu6050 stream: AX:-0.165 AY:0.094 AZ:-0.940 | GX:-0.565 GY:-0.779 GZ:0.550 | T:25.14 C
I (201895) mpu6050 stream: AX:-0.176 AY:0.094 AZ:-0.947 | GX:-0.595 GY:-0.687 GZ:0.550 | T:25.24 C
