I (189295) mpu6050 stream: AX:-0.077 AY:0.071 AZ:-0.964 | GX:-0.626 GY:-1.420 GZ:0.962 | T:25.14 C
I (189305) mpu6050 stream: AX:-0.074 AY:0.077 AZ:-0.962 | GX:-0.611 GY:-1.221 GZ:0.687 | T:25.14 C
I (189315) mpu6050 stream: AX:-0.075 AY:0.078 AZ:-0.963 | GX:-0.626 GY:-0.870 GZ:0.641 | T:25.24 C
I (189325) mpu6050 stream: AX:-0.078 AY:0.076 AZ:-0.955 | GX:-0.366 GY:-0.779 GZ:0.534 | T:25.14 C
I (189335) mpu6050 stream: AX:-0.081 AY:0.079 AZ:-0.960 | GX:-0.153 GY:-0.748 GZ:0.565 | T:25.33 C
I (189345) mpu6050 stream: AX:-0.074 AY:0.081 AZ:-0.957 | GX:0.092 GY:-1.099 GZ:0.519 | T:25.14 C
I (189355) mpu6050 stream: AX:-0.066 AY:0.080 AZ:-0.943 | GX:0.183 GY:-1.405 GZ:0.534 | T:25.24 C
I (189365) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.953 | GX:-0.351 GY:-1.573 GZ:0.489 | T:25.14 C
I (189375) mpu6050 stream: AX:-0.073 AY:0.075 AZ:-0.964 | GX:-0.718 GY:-1.099 GZ:0.427 | T:25.19 C
I (189385) mpu6050 stream: AX:-0.075 AY:0.074 AZ:-0.960 | GX:-1.267 GY:-1.038 GZ:0.351 | T:25.14 C
I (189395) mpu6050 stream: AX:-0.079 AY:0.086 AZ:-0.963 | GX:-1.450 GY:-0.870 GZ:0.321 | T:25.19 C
I (189405) mpu6050 stream: AX:-0.083 AY:0.091 AZ:-0.960 | GX:-1.023 GY:-1.008 GZ:0.382 | T:25.14 C
I (189415) mpu6050 stream: AX:-0.085 AY:0.092 AZ:-0.960 | GX:-0.321 GY:-0.733 GZ:0.656 | T:25.19 C
I (189425) mpu6050 stream: AX:-0.083 AY:0.089 AZ:-0.956 | GX:0.809 GY:-0.382 GZ:0.962 | T:25.19 C
I (189435) mpu6050 stream: AX:-0.084 AY:0.083 AZ:-0.963 | GX:1.298 GY:-0.122 GZ:1.191 | T:25.19 C
I (189445) mpu6050 stream: AX:-0.078 AY:0.085 AZ:-0.949 | GX:1.221 GY:-0.214 GZ:1.267 | T:25.28 C
I (189455) mpu6050 stream: AX:-0.075 AY:0.075 AZ:-0.952 | GX:0.626 GY:-0.473 GZ:1.145 | T:25.09 C
I (189465) mpu6050 stream: AX:-0.077 AY:0.077 AZ:-0.943 | GX:-0.122 GY:-1.099 GZ:1.038 | T:25.19 C
I (189475) mpu6050 stream: AX:-0.080 AY:0.080 AZ:-0.948 | GX:-0.748 GY:-1.328 GZ:0.992 | T:25.28 C
I (189485) mpu6050 stream: AX:-0.081 AY:0.084 AZ:-0.955 | GX:-0.672 GY:-1.573 GZ:0.794 | T:25.19 C
I (189495) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.959 | GX:-0.382 GY:-1.176 GZ:0.962 | T:25.28 C
