I (292195) mpu6050 stream: AX:-0.162 AY:0.091 AZ:-0.959 | GX:0.107 GY:-0.260 GZ:1.527 | T:25.28 C
I (292205) mpu6050 stream: AX:-0.160 AY:0.086 AZ:-0.956 | GX:0.168 GY:0.198 GZ:1.542 | T:25.19 C
I (292215) mpu6050 stream: AX:-0.166 AY:0.085 AZ:-0.966 | GX:0.305 GY:0.656 GZ:1.695 | T:25.33 C
I (292225) mpu6050 stream: AX:-0.167 AY:0.081 AZ:-0.963 | GX:0.443 GY:1.099 GZ:1.679 | T:25.24 C
I (292235) mpu6050 stream: AX:-0.161 AY:0.071 AZ:-0.947 | GX:0.427 GY:1.557 GZ:1.481 | T:25.14 C
I (292245) mpu6050 stream: AX:-0.161 AY:0.081 AZ:-0.953 | GX:0.305 GY:1.771 GZ:1.374 | T:25.24 C
I (292255) mpu6050 stream: A:0.092 GY:-1.267 GZ:1.267 | T:25.24 C
I (292495) mpu6050 stream: AX:-0.154 AY:0.085 AZ:-0.938 | GX:0.031 GY:-1.389 GZ:1.038 | T:25.24 C
I (292505) mpu6050 stream: AX:-0.152 AY:0.083 AZ:-0.941 | GX:-0.366 GY:-1.405 GZ:0.870 | T:25.33 C
I (292515) mpu6050 stream: AX:-0.148 AY:0.081 AZ:-0.934 | GX:-0.702 GY:-1.878 GZ:0.885 | T:25.24 C
I (292525) mpu6050 stream: AX:-0.146 AY:0.083 AZ:-0.937 | GX:-0.947 GY:-2.351 GZ:0.733 | T:25.24 C
I (292535) mpu6050 stream: AX:-0.154 AY:0.085 AZ:-0.935 | GX:-1.481 GY:-2.824 GZ:0.687 | T:25.24 C
I (292545) mpu6050 stream: AX:-0.154 AY:0.089 AZ:-0.948 | GX:-1.725 GY:-2.718 GZ:0.672 | T:25.24 C
I (292555) mpu6050 stream: AX:-0.150 AY:0.096 AZ:-0.945 | GX:-1.756 GY:-2.733 GZ:0.626 | T:25.33 C
I (292565) mpu6050 stream: AX:-0.155 AY:0.097 AZ:-0.944 | GX:-0.519 GY:-3.053 GZ:0.351 | T:25.33 C
I (292575) mpu6050 stream: AX:-0.156 AY:0.095 AZ:-0.936 | GX:0.611 GY:-3.374 GZ:0.718 | T:25.24 C
I (292585) mpu6050 stream: AX:-0.158 AY:0.094 AZ:-0.951 | GX:1.450 GY:-3.267 GZ:0.779 | T:25.19 C
I (292595) mpu6050 stream: AX:-0.156 AY:0.081 AZ:-0.941 | GX:1.298 GY:-3.313 GZ:0.901 | T:25.19 C
I (292605) mpu6050 stream: AX:-0.159 AY:0.084 AZ:-0.944 | GX:0.565 GY:-3.237 GZ:1.008 | T:25.28 C
I (292615) mpu6050 stream: AX:-0.158 AY:0.085 AZ:-0.943 | GX:-0.534 GY:-3.481 GZ:0.870 | T:25.28 C
I (292625) mpu6050 stream: AX:-0.169 AY:0.080 AZ:-0.943 | GX:-1.221 GY:-3.588 GZ:1.038 | T:25.19 C
I (292635) mpu6050 stream: AX:-0.169 AY:0.089 AZ:-0.945 | GX:-1.527 GY:-3.069 GZ:1.359 | T:25.28 C
I (292645) mpu6050 stream: AX:-0.174 AY:0.091 AZ:-0.953 | GX:-0.855 GY:-2.870 GZ:1.527 | T:25.19 C
