I (658635) mpu6050 stream: AX:0.016 AY:0.122 AZ:-0.963 | GX:0.076 GY:-0.916 GZ:-0.473 | T:25.00 C
I (658645) mpu6050 stream: AX:0.012 AY:0.122 AZ:-0.960 | GX:-0.244 GY:-0.397 GZ:-0.107 | T:24.91 C
I (658655) mpu6050 stream: AX:0.018 AY:0.130 AZ:-0.955 | GX:-0.550 GY:-0.031 GZ:-0.183 | T:25.00 C
I (658665) mpu6050 stream: AX:0.018 AY:0.131 AZ:-0.953 | GX:-0.748 GY:-0.382 GZ:-0.183 | T:25.00 C
I (658675) mpu6050 stream: AX:0.014 AY:0.138 AZ:-0.957 | GX:-0.229 GY:-0.565 GZ:-0.107 | T:24.91 C
I (658685) mpu6050 stream: AX:0.015 AY:0.132 AZ:-0.955 | GX:0.046 GY:-0.687 GZ:0.412 | T:24.91 C
I (658695) mpu6050 stream: AX:0.009 AY:0.134 AZ:-0.963 | GX:0.458 GY:-0.336 GZ:0.962 | T:24.91 C
I (658705) mpu6050 stream: AX:0.007 AY:0.126 AZ:-0.965 | GX:0.733 GY:-0.244 GZ:1.221 | T:25.00 C
I (658715) mpu6050 stream: AX:0.010 AY:0.129 AZ:-0.961 | GX:0.366 GY:0.260 GZ:1.237 | T:25.00 C
I (658725) mpu6050 stream: AX:0.018 AY:0.124 AZ:-0.964 | GX:-0.046 GY:0.229 GZ:1.298 | T:24.91 C
I (658735) mpu6050 stream: AX:0.016 AY:0.126 AZ:-0.961 | GX:-0.672 GY:0.214 GZ:1.374 | T:25.00 C
I (658745) mpu6050 stream: AX:0.013 AY:0.125 AZ:-0.947 | GX:-0.931 GY:0.473 GZ:1.588 | T:25.00 C
I (658755) mpu6050 stream: AX:0.015 AY:0.130 AZ:-0.958 | GX:-0.931 GY:0.107 GZ:1.603 | T:25.00 C
I (658765) mpu6050 stream: AX:0.017 AY:0.130 AZ:-0.953 | GX:-0.092 GY:0.290 GZ:1.634 | T:25.00 C
I (658775) mpu6050 stream: AX:0.018 AY:0.130 AZ:-0.955 | GX:0.534 GY:0.611 GZ:1.679 | T:25.00 C
I (658785) mpu6050 stream: AX:0.021 AY:0.122 AZ:-0.955 | GX:0.061 GY:0.260 GZ:1.450 | T:24.91 C
I (658795) mpu6050 stream: AX:0.011 AY:0.122 AZ:-0.966 | GX:0.275 GY:0.290 GZ:1.145 | T:25.00 C
