I (353875) mpu6050 stream: AX:-0.121 AY:0.089 AZ:-0.951 | GX:-0.565 GY:0.473 GZ:0.550 | T:25.19 C
I (353885) mpu6050 stream: AX:-0.126 AY:0.097 AZ:-0.961 | GX:-0.443 GY:0.534 GZ:0.443 | T:25.28 C
I (353895) mpu6050 stream: AX:-0.125 AY:0.089 AZ:-0.955 | GX:-0.244 GY:0.382 GZ:0.687 | T:25.19 C
I (353905) mpu6050 stream: AX:-0.122 AY:0.081 AZ:-0.953 | GX:-0.214 GY:0.748 GZ:0.687 | T:25.19 C
I (353915) mpu6050 stream: AX:-0.121 AY:0.089 AZ:-0.951 | GX:-0.214 GY:0.656 GZ:0.565 | T:25.19 C
I (353925) mpu6050 stream: AX:-0.122 AY:0.091 AZ:-0.949 | GX:-0.107 GY:0.733 GZ:0.489 | T:25.19 C
I (353935) mpu6050 stream: AX:-0.118 AY:0.087 AZ:-0.944 | GX:-0.275 GY:0.504 GZ:0.641 | T:25.09 C
I (353945) mpu6050 stream: AX:-0.114 AY:0.094 AZ:-0.948 | GX:-0.198 GY:0.504 GZ:0.534 | T:25.19 C
I (353955) mpu6050 stream: AX:-0.125 AY:0.084 AZ:-0.945 | GX:-0.183 GY:0.366 GZ:0.794 | T:25.19 C
I (353965) mpu6050 stream: AX:-0.121 AY:0.087 AZ:-0.942 | GX:-0.275 GY:0.427 GZ:0.748 | T:25.28 C
I (353975) mpu6050 stream: AX:-0.124 AY:0.088 AZ:-0.946 | GX:-0.046 GY:0.611 GZ:0.809 | T:25.19 C
I (353985) mpu6050 stream: AX:-0.112 AY:0.090 AZ:-0.959 | GX:-0.214 GY:0.183 GZ:0.794 | T:25.19 C
I (353995) mpu6050 stream: AX:-0.126 AY:0.089 AZ:-0.945 | GX:-0.122 GY:0.489 GZ:0.763 | T:25.28 C
I (354005) mpu6050 stream: AX:-0.120 AY:0.090 AZ:-0.944 | GX:0.046 GY:0.672 GZ:0.947 | T:25.19 C
I (354015) mpu6050 stream: AX:-0.120 AY:0.094 AZ:-0.940 | GX:-0.183 GY:0.611 GZ:0.885 | T:25.19 C
I (354025) mpu6050 stream: AX:-0.115 AY:0.090 AZ:-0.953 | GX:-0.382 GY:0.489 GZ:0.947 | T:25.19 C
I (354035) mpu6050 stream: AX:-0.116 AY:0.098 AZ:-0.963 | GX:-0.901 GY:0.718 GZ:0.733 | T:25.19 C
