I (518715) mpu) mpu6050 stream: AX:-0.128 AY:0.086 AZ:-0.950 | GX:-1.008 GY:-0.244 GZ:0.443 | T:24.95 C
I (518965) mpu6050 stream: AX:-0.125 AY:0.091 AZ:-0.949 | GX:-1.130 GY:-0.107 GZ:0.504 | T:24.95 C
I (518975) mpu6050 stream: AX:-0.124 AY:0.092 AZ:-0.951 | GX:-1.328 GY:-0.092 GZ:0.565 | T:24.95 C
I (518985) mpu6050 stream: AX:-0.119 AY:0.094 AZ:-0.954 | GX:-1.435 GY:-0.122 GZ:0.473 | T:25.05 C
I (518995) mpu6050 stream: AX:-0.124 AY:0.092 AZ:-0.944 | GX:-1.313 GY:-0.275 GZ:0.565 | T:25.05 C
I (519005) mpu6050 stream: AX:-0.126 AY:0.090 AZ:-0.948 | GX:-1.359 GY:-0.198 GZ:0.427 | T:25.05 C
I (519015) mpu6050 stream: AX:-0.127 AY:0.092 AZ:-0.946 | GX:-1.405 GY:-0.153 GZ:0.397 | T:25.05 C
I (519025) mpu6050 stream: AX:-0.127 AY:0.089 AZ:-0.952 | GX:-1.573 GY:-0.473 GZ:0.366 | T:25.05 C
I (519035) mpu6050 stream: AX:-0.127 AY:0.088 AZ:-0.948 | GX:-1.832 GY:-0.244 GZ:0.000 | T:24.95 C
I (519045) mpu6050 stream: AX:-0.123 AY:0.096 AZ:-0.948 | GX:-1.832 GY:0.015 GZ:-0.046 | T:25.05 C
I (519055) mpu6050 stream: AX:-0.126 AY:0.097 AZ:-0.944 | GX:-1.695 GY:-0.046 GZ:-0.260 | T:25.05 C
I (519065) mpu6050 stream: AX:-0.126 AY:0.099 AZ:-0.948 | GX:-1.588 GY:0.031 GZ:-0.198 | T:24.95 C
I (519075) mpu6050 stream: AX:-0.122 AY:0.093 AZ:-0.945 | GX:-1.359 GY:0.015 GZ:-0.351 | T:24.95 C
I (519085) mpu6050 stream: AX:-0.123 AY:0.099 AZ:-0.946 | GX:-1.389 GY:0.214 GZ:-0.412 | T:25.05 C
I (519095) mpu6050 stream: AX:-0.115 AY:0.096 AZ:-0.940 | GX:-1.115 GY:0.015 GZ:-0.351 | T:25.00 C
