5) mpu6050 stream: AX:-0.114 AY:0.110 AZ:-0.923 | GX:9.664 GY:1. AZ:-0.914 | GX:4.031 GY:0.931 GZ:1.679 | T:25.14 C
I (183755) mpu6050 stream: AX:-0.222 AY:0.128 AZ:-0.958 | GX:-3.130 GY:-20.473 GZ:0.305 | T:25.19 C
I (183765) mpu6050 stream: AX:-0.226 AY:0.130 AZ:-0.954 | GX:-1.985 GY:-19.282 GZ:0.489 | T:25.09 C
I (183775) mpu6050 stream: AX:-0.231 AY:0.120 AZ:-0.951 | GX:-1.053 GY:-18.183 GZ:1.206 | T:25.19 C
I (183785) mpu6050 stream: AX:-0.236 AY:0.124 AZ:-0.947 | GX:-0.656 GY:-17.237 GZ:1.420 | T:25.28 C
I (183795) mpu6050 stream: AX:-0.222 AY:0.123 AZ:-0.953 | GX:-0.992 GY:-16.611 GZ:1.908 | T:25.19 C
I (183805) mpu6050 stream: AX:-0.220 AY:0.122 AZ:-0.939 | GX:-1.435 GY:-16.122 GZ:2.260 | T:25.14 C
I (183815) mpu6050 stream: AX:-0.217 AY:0.118 AZ:-0.912 | GX:-1.786 GY:-16.565 GZ:2.580 | T:25.24 C
I (183825) mpu6050 stream: AX:-0.219 AY:0.119 AZ:-0.911 | GX:-1.634 GY:-16.840 GZ:2.870 | T:25.24 C
I (183835) mpu6050 stream: AX:-0.219 AY:0.122 AZ:-0.910 | GX:-1.023 GY:-17.771 GZ:3.374 | T:25.24 C
I (183845) mpu6050 stream: AX:-0.213 AY:0.113 AZ:-0.899 | GX:-0.916 GY:-18.611 GZ:3.756 | T:25.24 C
I (183855) mpu6050 stream: AX:-0.210 AY:0.104 AZ:-0.886 | GX:-1.099 GY:-19.679 GZ:3.985 | T:25.24 C
I (183865) mpu6050 stream: AX:-0.205 AY:0.103 AZ:-0.892 | GX:-2.031 GY:-21.695 GZ:4.031 | T:25.14 C
I (183875) mpu6050 stream: AX:-0.229 AY:0.093 AZ:-0.892 | GX:-3.389 GY:-22.794 GZ:3.863 | T:25.14 C
I (183885) mpu6050 stream: AX:-0.234 AY:0.094 AZ:-0.900 | GX:-4.870 GY:-23.969 GZ:3.145 | T:25.24 C
I (183895) mpu6050 stream: AX:-0.245 AY:0.095 AZ:-0.916 | GX:-5.924 GY:-23.802 GZ:2.015 | T:25.14 C
I (183905) mpu6050 stream: AX:-0.239 AY:0.102 AZ:-0.917 | GX:-5.878 GY:-23.481 GZ:1.725 | T:25.24 C
I (183915) mpu6050 stream: AX:-0.244 AY:0.097 AZ:-0.912 | GX:-5.023 GY:-23.603 GZ:1.115 | T:25.14 C
I (183925) mpu6050 stream: AX:-0.243 AY:0.102 AZ:-0.905 | GX:-4.321 GY:-24.336 GZ:0.519 | T:25.24 C
I (183935) mpu6050 stream: AX:-0.248 AY:0.103 AZ:-0.897 | GX:-4.137 GY:-24.305 GZ:0.061 | T:25.33 C
I (183945) mpu6050 stream: AX:- AZ:-0.924 | GX:-5.893 GY:-20.260 GZ:-2.595 | T:25.14 C
I (184205) mpu6050 stream: AX:-0.365 AY:0.150 AZ:-0.910 | GX:-4.336 GY:-18.397 GZ:-2.702 | T:25.24 C
I (184215) mpu6050 stream: AX:-0.353 AY:0.142 AZ:-0.902 | GX:-3.557 GY:-17.237 GZ:-2.977 | T:25.24 C
I (184225) mpu6050 stream: AX:-0.343 AY:0.139 AZ:-0.884 | GX:-3.603 GY:-17.206 GZ:-3.298 | T:25.24 C
I (184235) mpu6050 stream: AX:-0.339 AY:0.140 AZ:-0.863 | GX:-4.000 GY:-17.985 GZ:-3.420 | T:25.19 C
I (184245) mpu6050 stream: AX:-0.340 AY:0.146 AZ:-0.858 | GX:-4.397 GY:-18.580 GZ:-3.603 | T:25.09 C
I (184255) mpu6050 stream: AX:-0.339 AY:0.140 AZ:-0.842 | GX:-4.031 GY:-19.908 GZ:-3.588 | T:25.19 C
I (184265) mpu6050 stream: AX:-0.341 AY:0.144 AZ:-0.835 | GX:-4.076 GY:-22.504 GZ:-3.679 | T:25.19 C
I (184275) mpu6050 stream: AX:-0.367 AY:0.146 AZ:-0.871 | GX:-5.023 GY:-23.237 GZ:-3.573 | T:25.09 C
I (184285) mpu6050 stream: AX:-0.370 AY:0.142 AZ:-0.884 | GX:-5.908 GY:-22.489 GZ:-3.664 | T:25.19 C
I (184295) mpu6050 stream: AX:-0.366 AY:0.144 AZ:-0.878 | GX:-6.626 GY:-21.802 GZ:-3.786 | T:25.09 C
