I (664725) mpu6050 stream: AX:0.047 AY:0.095 AZ:-0.959 | GX:0.122 GY:-0.397 GZ:1.466 | T:24.91 C
I (664735) mpu6050 stream: AX:0.053 AY:0.099 AZ:-0.960 | GX:-0.550 GY:-0.519 GZ:1.374 | T:25.00 C
I (664745) mpu6050 stream: AX:0.052 AY:0.092 AZ:-0.956 | GX:-0.809 GY:-0.718 GZ:1.191 | T:24.91 C
I (664755) mpu6050 stream: AX:0.050 AY:0.094 AZ:-0.963 | GX:-1.038 GY:-0.519 GZ:1.069 | T:25.00 C
I (664765) mpu6050 stream: AX:0.053 AY:0.100 AZ:-0.961 | GX:-0.855 GY:-0.443 GZ:0.595 | T:25.00 C
I (664775) mpu6050 stream: AX:0.051 AY:0.100 AZ:-0.952 | GX:0.015 GY:-0.611 GZ:0.595 | T:24.91 C
I (664785) mpu6050 stream: AX:0.056 AY:0.108 AZ:-0.954 | GX:0.382 GY:-0.779 GZ:0.702 | T:25.00 C
I (664795) mpu6050 stream: AX:0.047 AY:0.092 AZ:-0.954 | GX:0.672 GY:-0.824 GZ:0.718 | T:24.95 C
I (664805) mpu6050 stream: AX:0.048 AY:0.103 AZ:-0.962 | GX:-0.229 GY:-1.298 GZ:0.870 | T:25.05 C
I (664815) mpu6050 stream: AX:0.055 AY:0.101 AZ:-0.955 | GX:-0.321 GY:-1.588 GZ:0.901 | T:24.95 C
I (664825) mpu6050 stream: AX:0.047 AY:0.100 AZ:-0.962 | GX:-0.870 GY:-1.420 GZ:0.992 | T:24.95 C
I (664835) mpu6050 stream: AX:0.047 AY:0.105 AZ:-0.970 | GX:-1.038 GY:-1.496 GZ:1.115 | T:25.05 C
I (664845) mpu6050 stream: AX:0.042 AY:0.113 AZ:-0.956 | GX:-0.153 GY:-1.527 GZ:1.374 | T:24.95 C
I (664855) mpu6050 stream: AX:0.042 AY:0.112 AZ:-0.961 | GX:0.550 GY:-1.160 GZ:2.137 | T:25.05 C
I (664865) mpu6050 stream: AX:0.042 AY:0.102 AZ:-0.969 | GX:0.977 GY:-0.595 GZ:2.534 | T:24.95 C
I (664875) mpu6050 stream: AX:0.036 AY:0.097 AZ:-0.965 | GX:0.672 GY:-0.168 GZ:2.824 | T:24.95 C
I (664885) mpu6050 stream: AX:0.044 AY:0.096 AZ:-0.966 | GX:0.260 GY:0.244 GZ:2.656 | T:25.05 C
I (664895) mpu6050 stream: AX:0.044 AY:0.096 AZ:-0.966 | GX:-0.412 GY:0.427 GZ:2.550 | T:25.05 C
I (664905) mpu6050 stream: AX:0.042 AY:0.103 AZ:-0.960 | GX:-0.931 GY:0.519 GZ:2.473 | T:24.95 C
I (664915) mpu6050 stream: AX:0.035 AY:0.102 AZ:-0.954 | GX:-0.565 GY:0.763 GZ:2.473 | T:24.95 C
I (664925) mpu6050 stream: AX:0.048 AY:0.102 AZ:-0.956 | GX:-0.275 GY:0.733 GZ:2.672 | T:25.05 C
I (664935) mpu6050 stream: AX:0.043 AY:0.104 AZ:-0.951 | GX:0.702 GY:0.687 GZ:2.656 | T:24.95 C
