I (219715) mpu6050 stream: AX:-0.151 AY:0.090 AZ:-0.902 | GX:1.725 GY:7.924 GZ:0.779 | T:25.24 C
I (219725) mpu6050 stream: AX:-0.142 AY:0.084 AZ:-0.891 | GX:1.191 GY:5.176 GZ:0.229 | T:25.24 C
I (219735) mpu6050 stream: AX:-0.139 AY:0.083 AZ:-0.904 | GX:0.931 GY:2.397 GZ:-0.046 | T:25.24 C
I (219745) mpu6050 stream: AX:-0.148 AY:0.081 AZ:-0.907 | GX:0.718 GY:0.397 GZ:-0.489 | T:25.24 C
I (219755) mpu6050 stream: AX:-0.157 AY:0.078 AZ:-0.916 | GX:0.366 GY:-0.885 GZ:-0.718 | T:25.24 C
I (219765) mpu6050 stream: AX:-0.150 AY:0.083 AZ:-0.919 | GX:0.412 GY:-2.229 GZ:-1.099 | T:25.14 C
I (219775) mpu6050 stream: AX:-0.149 AY:0.074 AZ:-0.939 | GX:0.565 GY:-3.130 GZ:-1.573 | T:25.24 C
I (219785) mpu6050 stream: AX:-0.167 AY:0.078 AZ:-0.959 | GX:0.260 GY:-2.229 GZ:-1.710 | T:25.24 C
I (219795) mpu6050 stream: AX:-0.165 AY:0.082 AZ:-0.958 | GX:0.183 GY:-1.084 GZ:-2.015 | T:25.14 C
I (219805) mpu6050 stream: AX:-0.171 AY:0.081 AZ:-0.951 | GX:0.580 GY:-0.107 GZ:-2.092 | T:25.24 C
I (219815) mpu6050 stream: AX:-0.169 AY:0.085 AZ:-0.926 | GX:0.840 GY:0.153 GZ:-2.198 | T:25.33 C
I (219825) mpu6050 stream: AX:-0.166 AY:0.096 AZ:-0.904 | GX:1.405 GY:-0.870 GZ:-2.305 | T:25.14 C
I (219835) mpu6050 stream: AX:-0.179 AY:0.093 AZ:-0.914 | GX:1.115 GY:-2.397 GZ:-2.458 | T:25.33 C
I (219845) mpu6050 stream: AX:-0.189 AY:0.089 AZ:-0.924 | GX:0.504 GY:-3.084 GZ:-2.351 | T:25.14 C
I (219855) mpu6050 stream: AX:-0.205 AY:0.103 AZ:-0.937 | GX:-0.107 GY:-3.374 GZ:-1.939 | T:25.14 C
I (219865) mpu6050 stream: AX:-0.219 AY:0.094 AZ:-0.953 | GX:-0.214 GY:-2.885 GZ:-1.588 | T:25.24 C
I (219875) mpu6050 stream: AX:-0.222 AY:0.103 AZ:-0.967 | GX:-0.015 GY:-1.679 GZ:-1.221 | T:25.24 C
I (219885) mpu6050 stream: AX:-0.217 AY:0.100 AZ:-0.979 | GX:0.336 GY:0.076 GZ:-1.130 | T:25.24 C
I (219895) mpu6050 stream: AX:-0.215 AY:0.094 AZ:-0.984 | GX:0.427 GY:2.198 GZ:-0.595 | T:25.24 C
I (219905) mpu6050 stream: AX:-0.203 AY:0.098 AZ:-0.981 | GX:0.382 GY:4.046 GZ:-0.427 | T:25.24 C
I (219915) mpu6050 stream: AX:-0.195 AY:0.098 AZ:-0.956 | GX:0.305 GY:5.053 GZ:-0.107 | T:25.24 C
I (219925) mpu6050 stream: AX:-0.184 AY:0.102 AZ:-0.938 | GX:0.702 GY:5.542 GZ:0.534 | T:25.24 C
I (219935) mpu6050 stream: AX:-0.175 AY:0.096 AZ:-0.917 | GX:0.855 GY:4.565 GZ:0.931 | T:25.24 C
I (219945) mpu6050 stream: AX:-0.172 AY:0.087 AZ:-0.908 | GX:0.824 GY:3.893 GZ:1.160 | T:25.24 C
