I (336645) mpu6050 stream: AX:-0.148 AY:0.099 AZ:-0.936 | GX:-0.870 GY:0.229 GZ:0.397 | T:25.28 C
I (336655) mpu6050 stream: AX:-0.151 AY:0.103 AZ:-0.942 | GX:-0.656 GY:-0.183 GZ:0.214 | T:25.28 C
I (336665) mpu6050 stream: AX:-0.152 AY:0.096 AZ:-0.945 | GX:-0.366 GY:-0.198 GZ:0.061 | T:25.28 C
I (336675) mpu6050 stream: AX:-0.146 AY:0.100 AZ:-0.951 | GX:-0.092 GY:-0.519 GZ:0.198 | T:25.19 C
I (336685) mpu6050 stream: AX:-0.152 AY:0.099 AZ:-0.956 | GX:-0.198 GY:0.229 GZ:0.198 | T:25.19 C
I (336695) mpu6050 stream: AX:-0.144 AY:0.096 AZ:-0.962 | GX:-0.473 GY:0.397 GZ:0.183 | T:25.09 C
I (336705) mpu6050 stream: AX:-0.150 AY:0.096 AZ:-0.942 | GX:-0.809 GY:0.641 GZ:0.275 | T:25.28 C
I (336715) mpu6050 stream: AX:-0.145 AY:0.107 AZ:-0.949 | GX:-0.397 GY:0.687 GZ:0.214 | T:25.19 C
I (336725) mpu6050 stream: AX:-0.142 AY:0.102 AZ:-0.945 | GX:0.183 GY:0.427 GZ:0.244 | T:25.19 C
I (336735) mpu6050 stream: AX:-0.146 AY:0.102 AZ:-0.941 | GX:0.748 GY:0.489 GZ:0.504 | T:25.28 C
I (336745) mpu6050 stream: AX:-0.148 AY:0.103 AZ:-0.948 | GX:0.901 GY:0.366 GZ:0.855 | T:25.28 C
I (336755) mpu6050 stream: AX:-0.150 AY:0.099 AZ:-0.933 | GX:0.580 GY:0.305 GZ:0.748 | T:25.19 C
