I (574565) mpu6050 stream: AX:-0.046 AY:0.105 AZ:-0.954 | GX:-0.611 GY:-0.550 GZ:0.763 | T:24.91 C
I (574575) mpu6050 stream: AX:-0.045 AY:0.105 AZ:-0.950 | GX:-0.702 GY:-1.115 GZ:0.656 | T:24.95 C
I (574585) mpu6050 stream: AX:-0.052 AY:0.106 AZ:-0.948 | GX:-0.580 GY:-0.992 GZ:0.565 | T:24.95 C
I (574595) mpu6050 stream: AX:-0.054 AY:0.106 AZ:-0.951 | GX:-0.748 GY:-0.779 GZ:0.534 | T:24.95 C
I (574605) mpu6050 stream: AX:-0.056 AY:0.108 AZ:-0.963 | GX:-0.565 GY:-0.397 GZ:0.611 | T:25.05 C
I (574615) mpu6050 stream: AX:-0.052 AY:0.111 AZ:-0.954 | GX:-0.672 GY:-0.229 GZ:0.519 | T:24.95 C
I (574625) mpu6050 stream: AX:-0.049 AY:0.110 AZ:-0.959 | GX:-0.305 GY:-0.168 GZ:0.733 | T:24.95 C
I (574635) mpu6050 stream: AX:-0.056 AY:0.110 AZ:-0.951 | GX:-0.031 GY:-0.198 GZ:0.885 | T:24.95 C
I (574645) mpu6050 stream: AX:-0.045 AY:0.108 AZ:-0.960 | GX:0.000 GY:0.336 GZ:0.947 | T:24.95 C
I (574655) mpu6050 stream: AX:-0.050 AY:0.104 AZ:-0.955 | GX:-0.275 GY:0.351 GZ:0.626 | T:25.05 C
I (574665) mpu6050 stream: AX:-0.045 AY:0.099 AZ:-0.959 | GX:-0.641 GY:0.809 GZ:0.641 | T:25.05 C
I (574675) mpu6050 stream: AX:-0.041 AY:0.107 AZ:-0.946 | GX:-1.237 GY:0.611 GZ:0.641 | T:24.86 C
I (574685) mpu6050 stream: AX:-0.049 AY:0.121 AZ:-0.954 | GX:-1.725 GY:0.076 GZ:0.412 | T:24.95 C
I (574695) mpu6050 stream: AX:-0.045 AY:0.117 AZ:-0.955 | GX:-1.053 GY:-0.595 GZ:0.427 | T:24.95 C
I (574705) mpu6050 stream: AX:-0.045 AY:0.122 AZ:-0.949 | GX:-0.031 GY:-0.809 GZ:0.458 | T:25.05 C
I (574715) mpu6050 stream: AX:-0.052 AY:0.119 AZ:-0.959 | GX:1.374 GY:-0.427 GZ:0.870 | T:24.95 C
I (574725) mpu6050 stream: AX:-0.054 AY:0.109 AZ:-0.954 | GX:1.939 GY:-0.137 GZ:1.206 | T:24.95 C
I (574735) mpu6050 stream: AX:-0.044 AY:0.104 AZ:-0.952 | GX:1.740 GY:0.000 GZ:1.069 | T:24.86 C
I (574745) mpu6050 stream: AX:-0.038 AY:0.101 AZ:-0.953 | GX:0.412 GY:-0.137 GZ:1.099 | T:24.95 C
I (574755) mpu6050 stream: AX:-0.049 AY:0.104 AZ:-0.951 | GX:-0.977 GY:-0.595 GZ:1.038 | T:24.95 C
I (574765) mpu6050 stream: AX:-0.056 AY:0.107 AZ:-0.959 | GX:-2.321 GY:-0.763 GZ:1.130 | T:24.95 C
I (574775) mpu6050 stream: AX:-0.047 AY:0.108 AZ:-0.952 | GX:-2.382 GY:-1.053 GZ:1.160 | T:24.95 C
I (574785) mpu6050 stream: AX:-0.051 AY:0.108 AZ:-0.949 | GX:-1.847 GY:-1.038 GZ:1.420 | T:25.05 C
I (574795) mpu6050 stream: AX:-0.060 AY:0.115 AZ:-0.960 | GX:-0.458 GY:-0.580 GZ:1.405 | T:25.05 C
I (574805) mpu6050 stream: AX:-0.055 AY:0.111 AZ:-0.952 | GX:0.076 GY:-0.458 GZ:1.344 | T:24.95 C
I (574815) mpu6050 stream: AX:-0.054 AY:0.110 AZ:-0.959 | GX:0.382 GY:-0.336 GZ:1.359 | T:24.95 C
I (574825) mpu6050 stream: AX:-0.054 AY:0.102 AZ:-0.951 | GX:0.000 GY:-0.107 GZ:1.221 | T:24.86 C
I (574835) mpu6050 stream: AX:-0.051 AY:0.105 AZ:-0.958 | GX:-1.130 GY:-0.534 GZ:0.870 | T:24.86 C
I (574845) mpu6050 stream: AX:-0.054 AY:0.103 AZ:-0.946 | GX:-1.069 GY:-0.565 GZ:0.550 | T:25.05 C
I (574855) mpu6050 stream: AX:-0.049 AY:0.109 AZ:-0.956 | GX:-1.2 GY:0.382 GZ:1.298 | T:25.00 C
I (575095) mpu6050 stream: AX:-0.050 AY:0.109 AZ:-0.950 | GX:0.214 GY:0.351 GZ:1.328 | T:25.00 C
I (575105) mpu6050 stream: AX:-0.052 AY:0.114 AZ:-0.957 | GX:0.305 GY:0.397 GZ:1.557 | T:24.91 C
I (575115) mpu6050 stream: AX:-0.057 AY:0.104 AZ:-0.953 | GX:0.443 GY:0.244 GZ:1.435 | T:25.00 C
I (575125) mpu6050 stream: AX:-0.053 AY:0.111 AZ:-0.961 | GX:0.275 GY:0.244 GZ:1.542 | T:25.00 C
I (575135) mpu6050 stream: AX:-0.050 AY:0.109 AZ:-0.960 | GX:0.000 GY:0.198 GZ:1.557 | T:24.91 C
I (575145) mpu6050 stream: AX:-0.049 AY:0.104 AZ:-0.956 | GX:0.046 GY:0.214 GZ:1.435 | T:24.91 C
I (575155) mpu6050 stream: AX:-0.049 AY:0.107 AZ:-0.948 | GX:0.214 GY:0.458 GZ:1.542 | T:24.91 C
I (575165) mpu6050 stream: AX:-0.051 AY:0.113 AZ:-0.955 | GX:0.275 GY:0.412 GZ:1.466 | T:24.91 C
I (575175) mpu6050 stream: AX:-0.048 AY:0.111 AZ:-0.952 | GX:0.397 GY:0.366 GZ:1.389 | T:24.91 C
I (575185) mpu6050 stream: AX:-0.053 AY:0.101 AZ:-0.950 | GX:0.595 GY:0.397 GZ:1.191 | T:25.00 C
I (575195) mpu6050 stream: AX:-0.053 AY:0.107 AZ:-0.948 | GX:0.336 GY:0.580 GZ:1.298 | T:25.00 C
I (575205) mpu6050 stream: AX:-0.046 AY:0.105 AZ:-0.959 | GX:0.015 GY:0.351 GZ:1.145 | T:24.91 C
I (575215) mpu6050 stream: AX:-0.050 AY:0.106 AZ:-0.955 | GX:-0.137 GY:0.504 GZ:1.084 | T:25.00 C
I (575225) mpu6050 stream: AX:-0.052 AY:0.107 AZ:-0.953 | GX:-0.214 GY:0.397 GZ:0.977 | T:25.00 C
I (575235) mpu6050 stream: AX:-0.047 AY:0.109 AZ:-0.952 | GX:-0.076 GY:0.015 GZ:0.870 | T:25.00 C
I (575245) mpu6050 stream: AX:-0.054 AY:0.104 AZ:-0.953 | GX:-0.015 GY:0.092 GZ:0.779 | T:24.91 C
