I (610555) mpu6050 stream: AX:0.058 AY:0.079 AZ:-0.952 | GX:0.061 GY:0.198 GZ:1.237 | T:24.86 C
I (610565) mpu6050 stream: AX:0.051 AY:0.085 AZ:-0.962 | GX:0.305 GY:0.168 GZ:1.130 | T:24.95 C
I (610575) mpu6050 stream: AX:0.050 AY:0.082 AZ:-0.959 | GX:0.321 GY:0.092 GZ:1.221 | T:25.05 C
I (610585) mpu6050 stream: AX:0.058 AY:0.087 AZ:-0.965 | GX:0.931 GY:0.046 GZ:1.313 | T:25.05 C
I (610595) mpu6050 stream: AX:0.051 AY:0.080 AZ:-0.965 | GX:1.023 GY:-0.031 GZ:1.344 | T:24.86 C
I (610605) mpu6050 stream: AX:0.052 AY:0.073 AZ:-0.959 | GX:1.099 GY:0.000 GZ:1.374 | T:24.95 C
I (610615) mpu6050 stream: AX:0.052 AY:0.075 AZ:-0.955 | GX:0.977 GY:-0.260 GZ:1.450 | T:24.95 C
I (610625) mpu6050 stream: AX:0.055 AY:0.078 AZ:-0.951 | GX:0.916 GY:-0.214 GZ:1.252 | T:24.86 C
I (610635) mpu6050 stream: AX:0.052 AY:0.071 AZ:-0.961 | GX:0.427 GY:-0.611 GZ:1.237 | T:25.05 C
I (610645) mpu6050 stream: AX:0.053 AY:0.077 AZ:-0.968 | GX:0.015 GY:-0.733 GZ:1.145 | T:24.86 C
I (610655) mpu6050 stream: AX:0.048 AY:0.075 AZ:-0.963 | GX:-0.046 GY:-0.565 GZ:1.160 | T:24.95 C
I (610665) mpu6050 stream: AX:0.049 AY:0.074 AZ:-0.964 | GX:0.076 GY:-0.290 GZ:1.160 | T:24.95 C
I (610675) mpu6050 stream: AX:0.053 AY:0.080 AZ:-0.957 | GX:0.153 GY:-0.351 GZ:1.115 | T:24.95 C
I (610685) mpu6050 stream: AX:0.047 AY:0.072 AZ:-0.959 | GX:0.321 GY:-0.260 GZ:1.023 | T:24.95 C
I (610695) mpu6050 stream: AX:0.039 AY:0.078 AZ:-0.972 | GX:0.519 GY:-0.198 GZ:1.160 | T:24.95 C
I (610705) mpu6050 stream: AX:0.046 AY:0.074 AZ:-0.968 | GX:0.504 GY:0.153 GZ:1.130 | T:24.95 C
I (610715) mpu6050 stream: AX:0.045 AY:0.078 AZ:-0.954 | GX:0.305 GY:0.198 GZ:1.099 | T:24.95 C
I (610725) mpu6050 stream: AX:0.045 AY:0.074 AZ:-0.962 | GX:0.244 GY:0.183 GZ:0.962 | T:24.95 C
I (610735) mpu6050 stream: AX:0.040 AY:0.075 AZ:-0.964 | GX:0.015 GY:0.321 GZ:1.145 | T:24.95 C
I (610745) mpu6050 stream: AX:0.050 AY:0.074 AZ:-0.962 | GX:-0.107 GY:0.534 GZ:1.023 | T:25.05 C
I (610755) mpu6050 stream: AX:0.047 AY:0.069 AZ:-0.960 | GX:-0.260 GY:0.656 GZ:0.931 | T:24.95 C
I (610765) mpu6050 stream: AX:0.049 AY:0.073 AZ:-0.964 | GX:-0.275 GY:0.824 GZ:0.809 | T:24.95 C
I (610775) mpu6050 stream: AX:0.046 AY:0.072 AZ:-0.953 | GX:-0.214 GY:0.489 GZ:0.748 | T:24.95 C
I (610785) mpu6050 stream: AX:0.052 AY:0.078 AZ:-0.957 | GX:-0.214 GY:0.611 GZ:0.672 | T:24.86 C
I (610795) mpu6050 stream: AX:0.046 AY:0.072 AZ:-0.961 | GX:-0.427 GY:0.443 GZ:0.702 | T:24.95 C
I (610805) mpu6050 stream: AX:0.046 AY:0.082 AZ:-0.959 | GX:-0.641 GY:0.305 GZ:0.656 | T:24.95 C
I (610815) mpu6050 stream: AX:0.050 AY:0.080 AZ:-0.958 | GX:-0.458 GY:0.489 GZ:0.687 | T:24.95 C
I (610825) mpu6050 stream: AX:0.049 AY:0.081 AZ:-0.955 | GX:-0.336 GY:0.489 GZ:0.565 | T:24.95 C
I (610835) mpu6050 stream: AX:0.043 AY:0.086 AZ:-0.954 | GX:-0.290 GY:0.214 GZ:0.519 | T:24.95 C
I (610845) mpu6050 stream: AX:0.051 AY:0.088 AZ:-0.957 | GX:-0.061 GY:0.290 GZ:0.672 | T:24.95 C
I (610855) mpu6050 stream: AX:0.056 AY:0.084 AZ:-0.963 | GX:0.015 GY:0.397 GZ:0.840 | T:24.95 C
I (610865) mpu6050 stream: AX:0.049 AY:0.084 AZ:-0.959 | GX:0.137 GY:0.351 GZ:0.855 | T:24.86 C
I (610875) mpu6050 stream: AX:0.050 AY:0.086 AZ:-0.964 | GX:0.031 GY:0.275 GZ:0.901 | T:24.95 C
I (610885) mpu6050 stream: AX:0.054 AY:0.083 AZ:-0.958 | GX:0.000 GY:0.550 GZ:1.160 | T:24.95 C
I (610895) mpu6050 stream: AX:0.052 AY:0.086 AZ:-0.958 | GX:0.183 GY:0.382 GZ:1.145 | T:24.95 C
I (610905) mpu6050 stream: AX:0.052 AY:0.079 AZ:-0.962 | GX:0.183 GY:0.397 GZ:1.237 | T:25.05 C
I (610915) mpu6050 stream: AX:0.057 AY:0.082 AZ:-0.964 | GX:0.229 GY:0.397 GZ:1.481 | T:24.86 C
I (610925) mpu6050 stream: AX:0.045 AY:0.083 AZ:-0.959 | GX:0.565 GY:0.550 GZ:1.466 | T:24.86 C
I (610935) mpu6050 stream: AX:0.045 AY:0.077 AZ:-0.957 | GX:0.580 GY:0.763 GZ:1.573 | T:24.95 C
I (610945) mpu6050 stream: AX:0.050 AY:0.074 AZ:-0.951 | GX:0.809 GY:1.115 GZ:1.573 | T:24.86 C
I (610955) mpu6050 stream: AX:0.051 AY:0.079 AZ:-0.957 | GX:0.595 GY:1.069 GZ:1ream: AX:0.049 AY:0.086 AZ:-0.957 | GX:-0.366 GY:-0.962 GZ:-0.366 | T:24.91 C
I (611185) mpu6050 stream: AX:0.049 AY:0.078 AZ:-0.965 | GX:0.000 GY:-1.298 GZ:-0.168 | T:25.00 C
