I (482465) mpu6050 stream: AX:-0.109 AY:0.081 AZ:-0.959 | GX:-0.275 GY:-0.321 GZ:0.534 | T:25.19 C
I (482475) mpu6050 stream: AX:-0.107 AY:0.082 AZ:-0.953 | GX:-0.427 GY:0.290 GZ:0.473 | T:25.19 C
I (482485) mpu6050 stream: AX:-0.099 AY:0.084 AZ:-0.956 | GX:-0.397 GY:0.611 GZ:0.672 | T:25.09 C
I (482495) mpu6050 stream: AX:-0.103 AY:0.084 AZ:-0.955 | GX:-0.137 GY:1.008 GZ:0.534 | T:25.19 C
I (482505) mpu6050 stream: AX:-0.101 AY:0.085 AZ:-0.961 | GX:-0.153 GY:0.855 GZ:0.519 | T:25.09 C
I (482515) mpu6050 stream: AX:-0.097 AY:0.081 AZ:-0.957 | GX:-0.092 GY:1.008 GZ:0.275 | T:25.09 C
I (482525) mpu6050 stream: AX:-0.103 AY:0.086 AZ:-0.953 | GX:-0.611 GY:0.855 GZ:0.443 | T:25.19 C
I (482535) mpu6050 stream: AX:-0.104 AY:0.083 AZ:-0.949 | GX:-0.611 GY:0.977 GZ:0.305 | T:25.19 C
I (482545) mpu6050 stream: AX:-0.105 AY:0.092 AZ:-0.948 | GX:-0.656 GY:0.687 GZ:0.260 | T:25.09 C
I (482555) mpu6050 stream: AX:-0.103 AY:0.082 AZ:-0.942 | GX:-0.702 GY:0.168 GZ:0.198 | T:25.00 C
I (482565) mpu6050 stream: AX:-0.097 AY:0.091 AZ:-0.949 | GX:-0.565 GY:0.275 GZ:0.427 | T:25.09 C
I (482575) mpu6050 stream: AX:-0.101 AY:0.086 AZ:-0.947 | GX:-0.351 GY:0.153 GZ:0.504 | T:25.19 C
I (482585) mpu6050 stream: AX:-0.098 AY:0.088 AZ:-0.957 | GX:-0.763 GY:0.076 GZ:0.412 | T:25.00 C
I (482595) mpu6050 stream: AX:-0.101 AY:0.088 AZ:-0.955 | GX:-0.611 GY:0.061 GZ:0.534 | T:25.00 C
I (482605) mpu6050 stream: AX:-0.106 AY:0.094 AZ:-0.954 | GX:-0.397 GY:0.137 GZ:0.611 | T:25.09 C
I (482615) mpu6050 stream: AX:-0.102 AY:0.082 AZ:-0.953 | GX:-0.290 GY:0.015 GZ:0.748 | T:25.09 C
I (482625) mpu6050 stream: AX:-0.098 AY:0.089 AZ:-0.961 | GX:-0.351 GY:0.076 GZ:0.595 | T:25.09 C
I (482635) mpu6050 stream: AX:-0.097 AY:0.092 AZ:-0.954 | GX:-0.595 GY:0.305 GZ:0.763 | T:25.19 C
I (482645) mpu6050 stream: AX:-0.105 AY:090 AZ:-0.953 | GX:-1.008 GY:0.275 GZ:-0.473 | T:25.05 C
I (482885) mpu6050 stream: AX:-0.111 AY:0.094 AZ:-0.953 | GX:-0.168 GY:0.290 GZ:-0.626 | T:25.14 C
I (482895) mpu6050 stream: AX:-0.111 AY:0.088 AZ:-0.960 | GX:0.107 GY:0.229 GZ:-0.489 | T:25.05 C
I (482905) mpu6050 stream: AX:-0.112 AY:0.087 AZ:-0.960 | GX:0.031 GY:1.023 GZ:-0.458 | T:25.05 C
I (482915) mpu6050 stream: AX:-0.106 AY:0.085 AZ:-0.963 | GX:-0.641 GY:1.282 GZ:-0.168 | T:25.14 C
I (482925) mpu6050 stream: AX:-0.104 AY:0.084 AZ:-0.961 | GX:-0.595 GY:1.542 GZ:-0.473 | T:25.05 C
I (482935) mpu6050 stream: AX:-0.099 AY:0.091 AZ:-0.954 | GX:-1.206 GY:1.282 GZ:-0.412 | T:25.05 C
I (482945) mpu6050 stream: AX:-0.106 AY:0.096 AZ:-0.952 | GX:-0.733 GY:0.809 GZ:-0.244 | T:25.05 C
I (482955) mpu6050 stream: AX:-0.099 AY:0.100 AZ:-0.940 | GX:0.214 GY:0.733 GZ:-0.031 | T:25.05 C
I (482965) mpu6050 stream: AX:-0.099 AY:0.094 AZ:-0.942 | GX:0.702 GY:0.718 GZ:0.351 | T:25.05 C
I (482975) mpu6050 stream: AX:-0.103 AY:0.087 AZ:-0.950 | GX:0.733 GY:0.809 GZ:0.351 | T:25.14 C
I (482985) mpu6050 stream: AX:-0.102 AY:0.086 AZ:-0.964 | GX:-0.122 GY:0.763 GZ:0.656 | T:25.05 C
