I (311665) mpu6050 stream: AX:-0.149 AY:0.100 AZ:-0.943 | GX:0.092 GY:-0.321 GZ:0.870 | T:25.19 C
I (311675) mpu6050 stream: AX:-0.145 AY:0.101 AZ:-0.952 | GX:-0.214 GY:-0.076 GZ:0.763 | T:25.28 C
I (311685) mpu6050 stream: AX:-0.141 AY:0.099 AZ:-0.943 | GX:-0.443 GY:-0.260 GZ:0.519 | T:25.28 C
I (311695) mpu6050 stream: AX:-0.147 AY:0.102 AZ:-0.944 | GX:-0.672 GY:-0.290 GZ:0.443 | T:25.19 C
I (311705) mpu6050 stream: AX:-0.146 AY:0.102 AZ:-0.938 | GX:-0.824 GY:-0.229 GZ:0.122 | T:25.19 C
I (311715) mpu6050 stream: AX:-0.140 AY:0.107 AZ:-0.943 | GX:-0.962 GY:-0.458 GZ:0.168 | T:25.19 C
I (311725) mpu6050 stream: AX:-0.148 AY:0.113 AZ:-0.944 | GX:-0.855 GY:-0.214 GZ:-0.031 | T:25.28 C
I (311735) mpu6050 stream: AX:-0.146 AY:0.107 AZ:-0.955 | GX:-0.427 GY:-0.168 GZ:0.076 | T:25.28 C
I (311745) mpu6050 stream: AX:-0.141 AY:0.115 AZ:-0.940 | GX:-0.046 GY:-0.092 GZ:0.031 | T:25.19 C
I (311755) mpu6050 stream: AX:-0.143 AY:0.111 AZ:-0.955 | GX:0.244 GY:-0.595 GZ:0.244 | T:25.19 C
I (311765) mpu6050 stream: AX:-0.151 AY:0.108 AZ:-0.954 | GX:0.000 GY:-0.137 GZ:0.611 | T:25.28 C
I (311775) mpu6050 stream: AX:-0.153 AY:0.099 AZ:-0.953 | GX:-0.504 GY:0.290 GZ:0.718 | T:25.28 C
I (311785) mpu6050 stream: AX:-0.141 AY:0.110 AZ:-0.950 | GX:-0.977 GY:0.305 GZ:0.580 | T:25.28 C
I (311795) mpu6050 stream: AX:-0.146 AY:0.117 AZ:-0.943 | GX:-1.237 GY:0.489 GZ:0.580 | T:25.28 C
I (311805) mpu6050 stream: AX:-0.147 AY:0.119 AZ:-0.938 | GX:-0.595 GY:0.397 GZ:0.870 | T:25.28 C
I (311815) mpu6050 stream: AX:-0.144 AY:0.115 AZ:-0.949 | GX:0.366 GY:0.641 GZ:1.023 | T:25.28 C
I (311825) mpu6050 stream: AX:-0.151 AY:0.101 AZ:-0.948 | GX:0.779 GY:0.641 GZ:1.099 | T:25.28 C
I (311835) mpu6050 stream: AX:-0.140 AY:0.104 AZ:-0.943 | GX:0.748 GY:0.870 GZ:1.069 | T:25.28 C
I (311845) mpu6050 stream: AX:-0.144 AY:0.095 AZ:-0.946 | GX:0.000 GY:0.702 GZ:0.885 | T:25.28 C
I (311855) mpu6050 stream: AX:-0.144 AY:0.103 AZ:-0.926 | GX:-0.626 GY:0.534 GZ:0.840 | T:25.28 C
I (311865) mpu6050 stream: AX:-0.144 AY:0.103 AZ:-0.941 | GX:-1.053 GY:0.458 GZ:0.794 | T:25.28 C
I (311875) mpu6050 stream: AX:-0.145 AY:0.105 AZ:-0.938 | GX:-0.977 GY:0.000 GZ:0.687 | T:25.19 C
I (311885) mpu6050 stream: AX:-0.146 AY:0.116 AZ:-0.936 | GX:-0.443 GY:-0.107 GZ:0.824 | T:25.19 C
I (311895) mpu6050 stream: AX:-0.153 AY:0.105 AZ:-0.945 | GX:-0.198 GY:-0.321 GZ:0.687 | T:25.19 C
I (311905) mpu6050 stream: AX:-0.147 AY:0.102 AZ:-0.945 | GX:0.031 GY:0.000 GZ:0.718 | T:25.19 C
I (311915) mpu6050 stream: AX:-0.148 AY:0.111 AZ:-0.946 | GX:0.046 GY:-0.092 GZ:0.595 | T:25.19 C
I (311925) mpu6050 stream: AX:-0.144 AY:0.109 AZ:-0.949 | GX:-0.183 GY:0.183 GZ:0.672 | T:25.28 C
I (311935) mpu6050 stream: AX:-0.144 AY:0.109 AZ:-0.948 | GX:-0.397 GY:0.153 GZ:0.763 | T:25.28 C
I (311945) mpu6050 stream: AX:-0.141 AY:0.110 AZ:-0.942 | GX:-0.443 GY:-0.107 GZ:0.626 | T:25.19 C
I (311955) mpu6050 stream: AX:-0.143 AY:0.113 AZ:-0.938 | GX:-0.183 GY:-0.229 GZ:0.931 | T:25.28 C
I (311965) mpu6050 stream: AX:-0.139 AY:0.114 AZ:-0.947 | GX:0.076 GY:-0.229 GZ:0.748 | T:25.28 C
I (311975) mpu6050 stream: AX:-0.144 AY:0.115 AZ:-0.947 | GX:0.718 GY:-0.107 GZ:1.038 | T:25.28 C
I (311985) mpu6050 stream: AX:-0.147 AY:0.112 AZ:-0.944 | GX:0.641 GY:-0.458 GZ:1.221 | T:25.19 C
I (311995) mpu6050 stream: AX:-0.154 AY:0.106 AZ:-0.944 | GX:0.550 GY:-0.122 GZ:1.298 | T:25.19 C
I (312005) mpu6050 stream: AX:-0.146 AY:0.106 AZ:-0.948 | GX:0.321 GY:-0.122 GZ:1.374 | T:25.19 C
I (312015) mpu6050 stream: AX:-0.154 AY:0.105 AZ:-0.952 | GX:0.275 GY:0.061 GZ:1.405 | T:25.19 C
I (312025) mpu6050 stream: AX:-0.151 AY:0.100 AZ:-0.942 | GX:0.153 GY:0.321 GZ:1.389 | T:25.19 C
I (312035) mpu6050 stream: AX:-0.150 AY:0.101 AZ:-0.953 | GX:0.015 GY:0.290 GZ:1.313 | T:25.19 C
I (312045) mpu6050 stream: AX:-0.152 AY:0.104 AZ:-0.940 | GX:-0.290 GY:0.305 GZ:1.176 | T:25.28 C
I (312055) mpu6050 stream: AX:-0.148 AY:0.104 AZ:-0.945 | GX:-0.550 GY:0.397 GZ:1.115 | T:25.28 C
I (312065) mpu6050 stream: AX:-0.140 AY:0.100 AZ:-0.942 | GX:-0.489 GY:0.534 GZ:1.069 | T:25.19 C
I (312075) mpu6050 stream: AX:-0.148 AY:0.099 AZ:-0.933 | GX:-0.336 GY:0.580 GZ:0.992 | T:25.28 C
I (312085) mpu6050 stream: AX:-0.141 AY:0.105 AZ:-0.946 | GX:-0.305 GY:0.275 GZ:0.656 | T:25.19 C
I (312095) mpu6050 stream: AX:-0.148 AY:0.104 AZ:-0.948 | GX:-0.427 GY:0.305 GZ:0.427 | T:25.19 C
I (312105) mpu6050 stream: AX:-0.144 AY:0.107 AZ:-0.942 | GX:-0.489 GY:0.443 GZ:0.550 | T:25.28 C
I (312115) mpu6050 stream: AX:-0.147 AY:0.108 AZ:-0.953 | GX:-0.473 GY:0.519 GZ:0.260 | T:25.19 C
I (312125) mpu6050 stream: AX:-0.144 AY:0.104 AZ:-0.937 | GX:-0.351 GY:0.611 GZ:0.214 | T:25.28 C
I (312135) mpu6050 stream: AX:-0.145 AY:0.113 AZ:-0.943 | GX:-0.550 GY:0.260 GZ:0.000 | T:25.19 C
I (312145) mpu6050 stream: AX:-0.143 AY:0.106 AZ:-0.953 | GX:-0.382 GY:0.366 GZ:0.046 | T:25.28 C
I (312155) mpu6050 stream: AX:-0.141 AY:0.106 AZ:-0.942 | GX:-0.489 GY:0.305 GZ:0.046 | T:25.19 C
