I (458365) mpu6050 stream: AX:-0.078 AY:0.073 AZ:-0.953 | GX:0.595 GY:1.267 GZ:1.282 | T:25.09 C
I (458375) mpu6050 stream: AX:-0.077 AY:0.080 AZ:-0.951 | GX:0.321 GY:1.038 GZ:1.252 | T:25.09 C
I (458385) mpu6050 stream: AX:-0.078 AY:0.079 AZ:-0.953 | GX:-0.076 GY:0.702 GZ:1.160 | T:25.09 C
I (458395) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.952 | GX:-0.107 GY:0.397 GZ:1.282 | T:25.09 C
I (458405) mpu6050 stream: AX:-0.089 AY:0.082 AZ:-0.953 | GX:-0.122 GY:0.382 GZ:1.313 | T:25.19 C
I (458415) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.955 | GX:0.000 GY:0.901 GZ:1.344 | T:25.19 C
I (458425) mpu6050 stream: AX:-0.081 AY:0.079 AZ:-0.962 | GX:0.458 GY:0.458 GZ:1.084 | T:25.09 C
I (458435) mpu6050 stream: AX:-0.075 AY:0.082 AZ:-0.950 | GX:0.412 GY:0.473 GZ:1.145 | T:25.19 C
I (458445) mpu6050 stream: AX:-0.084 AY:0.074 AZ:-0.962 | GX:0.183 GY:0.458 GZ:1.237 | T:25.09 C
I (458455) mpu6050 stream: AX:-0.089 AY:0.079 AZ:-0.948 | GX:-0.031 GY:0.412 GZ:1.038 | T:25.19 C
I (458465) mpu6050 stream: AX:-0.079 AY:0.076 AZ:-0.956 | GX:-0.336 GY:0.580 GZ:1.176 | T:25.09 C
I (458475) mpu6050 stream: AX:-0.076 AY:0.077 AZ:-0.967 | GX:-0.137 GY:0.550 GZ:1.237 | T:25.09 C
I (458485) mpu6050 stream: AX:-0.080 AY:0.076 AZ:-0.950 | GX:0.275 GY:0.489 GZ:1.115 | T:25.09 C
I (458495) mpu6050 stream: AX:-0.085 AY:0.082 AZ:-0.965 | GX:0.443 GY:0.580 GZ:1.145 | T:25.19 C
I (458505) mpu6050 stream: AX:-0.083 AY:0.079 AZ:-0.956 | GX:0.275 GY:0.550 GZ:1.298 | T:25.09 C
I (458515) mpu6050 stream: AX:-0.088 AY:0.078 AZ:-0.965 | GX:0.137 GY:0.733 GZ:1.069 | T:25.09 C
I (458525) mpu6050 stream: AX:-0.076 AY:0.073 AZ:-0.960 | GX:-0.015 GY:0.870 GZ:1.237 | T:25.28 C
I (458535) mpu6050 stream: AX:-0.080 AY:0.076 AZ:-0.946 | GX:-0.137 GY:0.214 GZ:1.008 | T:25.19 C
I (458545) mpu6050 stream: AX:-0.079 AY:0.072 AZ:-0.953 | GX:-0.260 GY:0.290 GZ:0.931 | T:25.09 C
I (458555) mpu6050 stream: AX:-0.083 AY:0.071 AZ:-0.951 | GX:-0.397 GY:0.183 GZ:1.053 | T:25.09 C
I (458565) mpu6050 stream: AX:-0.080 AY:0.081 AZ:-0.950 | GX:-0.366 GY:0.122 GZ:0.870 | T:25.19 C
I (458575) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.950 | GX:-0.153 GY:-0.153 GZ:0.885 | T:25.19 C
I (458585) mpu6050 stream: AX:-0.077 AY:0.085 AZ:-0.952 | GX:-0.168 GY:-0.137 GZ:0.916 | T:25.19 C
I (458595) mpu6050 stream: AX:-0.082 AY:0.086 AZ:-0.952 | GX:-0.168 GY:-0.260 GZ:0.947 | T:25.09 C
I (458605) mpu6050 stream: AX:-0.076 AY:0.085 AZ:-0.947 | GX GY:-0.321 GZ:1.328 | T:25.09 C
I (458845) mpu6050 stream: AX:-0.085 AY:0.074 AZ:-0.950 | GX:0.702 GY:-0.427 GZ:1.344 | T:25.09 C
I (458855) mpu6050 stream: AX:-0.076 AY:0.074 AZ:-0.953 | GX:-0.763 GY:-0.702 GZ:1.405 | T:25.19 C
I (458865) mpu6050 stream: AX:-0.082 AY:0.076 AZ:-0.956 | GX:-2.122 GY:-0.901 GZ:1.450 | T:25.19 C
I (458875) mpu6050 stream: AX:-0.085 AY:0.084 AZ:-0.952 | GX:-1.527 GY:-0.901 GZ:1.420 | T:25.09 C
I (458885) mpu6050 stream: AX:-0.091 AY:0.082 AZ:-0.943 | GX:-0.687 GY:-0.611 GZ:1.496 | T:25.09 C
