I (440495) mpu6050 stream: AX:-0.094 AY:0.097 AZ:-0.951 | GX:0.336 GY:0.015 GZ:1.588 | T:25.09 C
I (440505) mpu6050 stream: AX:-0.090 AY:0.099 AZ:-0.948 | GX:0.351 GY:-0.061 GZ:1.573 | T:25.19 C
I (440515) mpu6050 stream: AX:-0.097 AY:0.095 AZ:-0.948 | GX:0.489 GY:0.000 GZ:1.710 | T:25.19 C
I (440525) mpu6050 stream: AX:-0.089 AY:0.095 AZ:-0.949 | GX:0.046 GY:-0.153 GZ:1.786 | T:25.19 C
I (440535) mpu6050 stream: AX:-0.099 AY:0.096 AZ:-0.948 | GX:0.229 GY:0.015 GZ:1.863 | T:25.19 C
I (440545) mpu6050 stream: AX:-0.097 AY:0.097 AZ:-0.959 | GX:0.214 GY:0.336 GZ:1.847 | T:25.19 C
I (440555) mpu6050 stream: AX:-0.095 AY:0.094 AZ:-0.949 | GX:0.122 GY:0.412 GZ:1.939 | T:25.19 C
I (440565) mpu6050 stream: AX:-0.06 GY:-0.656 GZ:1.008 | T:25.05 C
I (440795) mpu6050 stream: AX:-0.094 AY:0.102 AZ:-0.950 | GX:1.359 GY:-0.458 GZ:1.313 | T:25.14 C
I (440805) mpu6050 stream: AX:-0.094 AY:0.099 AZ:-0.946 | GX:2.229 GY:-0.626 GZ:1.481 | T:25.14 C
I (440815) mpu6050 stream: AX:-0.091 AY:0.082 AZ:-0.948 | GX:1.740 GY:-0.992 GZ:1.634 | T:25.05 C
I (440825) mpu6050 stream: AX:-0.091 AY:0.086 AZ:-0.938 | GX:0.458 GY:-1.405 GZ:1.435 | T:25.24 C
I (440835) mpu6050 stream: AX:-0.088 AY:0.091 AZ:-0.945 | GX:-1.557 GY:-2.275 GZ:1.130 | T:25.14 C
I (440845) mpu6050 stream: AX:-0.094 AY:0.098 AZ:-0.941 | GX:-2.366 GY:-2.779 GZ:1.359 | T:25.05 C
I (440855) mpu6050 stream: AX:-0.094 AY:0.098 AZ:-0.949 | GX:-2.214 GY:-2.901 GZ:1.450 | T:25.14 C
I (440865) mpu6050 stream: AX:-0.109 AY:0.107 AZ:-0.958 | GX:-1.405 GY:-2.595 GZ:1.725 | T:25.14 C
