I (207875) mpu6050 stream: AX:-0.157 AY:0.096 AZ:-0.955 | GX:-1.237 GY:0.214 GZ:0.290 | T:25.24 C
I (207885) mpu6050 stream: AX:-0.151 AY:0.097 AZ:-0.943 | GX:-1.206 GY:0.824 GZ:0.305 | T:25.14 C
I (207895) mpu6050 stream: AX:-0.148 AY:0.107 AZ:-0.933 | GX:-0.550 GY:0.641 GZ:0.214 | T:25.14 C
I (207905) mpu6050 stream: AX:-0.158 AY:0.104 AZ:-0.937 | GX:0.702 GY:0.046 GZ:0.214 | T:25.14 C
I (207915) mpu6050 stream: AX:-0.159 AY:0.097 AZ:-0.943 | GX:1.542 GY:-0.519 GZ:0.366 | T:25.24 C
I (207925) mpu6050 stream: AX:-0.158 AY:0.102 AZ:-0.944 | GX:1.511 GY:-0.305 GZ:0.366 | T:25.24 C
I (207935) mpu6050 stream: AX:-0.163 AY:0.093 AZ:-0.944 | GX:0.519 GY:0.061 GZ:0.550 | T:25.24 C
I (207945) mpu6050 stream: AX:-0.161 AY:0.100 AZ:-0.937 | GX:-0.351 GY:0.137 GZ:0.718 | T:25.24 C
I (207955) mpu6050 stream: AX:-0.160 AY:0.100 AZ:-0.937 | GX:-0.565 GY:-0.061 GZ:0.947 | T:25.24 C
I (207965) mpu6050 stream: AX:-0.157 AY:0.109 AZ:-0.940 | GX:-0.229 GY:-0.702 GZ:1.053 | T:25.24 C
I (207975) mpu6050 stream: AX:-0.162 AY:0.111 AZ:-0.942 | GX:0.061 GY:-0.595 GZ:1.679 | T:25.24 C
I (207985) mpu6050 stream: AX:-0.163 AY:0.109 AZ:-0.941 | GX:0.473 GY:-0.427 GZ:2.046 | T:25.14 C
I (207995) mpu6050 stream: AX:-0.169 AY:0.102 AZ:-0.946 | GX:0.580 GY:-0.290 GZ:2.198 | T:25.14 C
I (208005) mpu6050 stream: AX:-0.164 AY:0.098 AZ:-0.938 | GX:pu6050 stream: AX:-0.159 AY:0.101 AZ:-0.941 | GX:0.718 GY:0.305 GZ:0.901 | T:25.28 C
I (208265) mpu6050 stream: AX:-0.161 AY:0.097 AZ:-0.949 | GX:0.626 GY:0.519 GZ:0.748 | T:25.19 C
I (208275) mpu6050 stream: AX:-0.156 AY:0.100 AZ:-0.939 | GX:0.305 GY:0.489 GZ:0.840 | T:25.19 C
I (208285) mpu6050 stream: AX:-0.156 AY:0.101 AZ:-0.933 | GX:-0.351 GY:0.473 GZ:0.824 | T:25.28 C
