I (641255) mpu6050 stream: AX:0.005 AY:0.083 AZ:-0.963 | GX:-1.130 GY:0.092 GZ:1.023 | T:25.05 C
I (641265) mpu6050 stream: AX:0.001 AY:0.093 AZ:-0.965 | GX:-1.405 GY:-0.107 GZ:0.901 | T:24.95 C
I (641275) mpu6050 stream: AX:0.003 AY:0.101 AZ:-0.962 | GX:-0.794 GY:-0.229 GZ:0.885 | T:25.05 C
I (641285) mpu6050 stream: AX:0.003 AY:0.093 AZ:-0.959 | GX:0.504 GY:-0.489 GZ:0.977 | T:24.95 C
I (641295) mpu6050 stream: AX:-0.001 AY:0.084 AZ:-0.957 | GX:1.557 GY:-0.870 GZ:1.099 | T:24.95 C
I (641305) mpu6050 stream: AX:-0.002 AY:0.088 AZ:-0.964 | GX:2.107 GY:-0.290 GZ:1.237 | T:24.95 C
I (641315) mpu6050 stream: AX:-0.003 AY:0.079 AZ:-0.962 | GX:1.389 GY:-0.229 GZ:1.237 | T:24.95 C
I (641325) mpu6050 stream: AX:-0.004 AY:0.078 AZ:-0.966 | GX:-0.061 GY:-0.855 GZ:1.099 | T:24.95 C
I (641335) mpu6050 stream: AX:-0.010 AY:0.081 AZ:-0.964 | GX:-1.206 GY:-1.160 GZ:1.237 | T:24.95 C
I (641345) mpu6050 stream: AX:-0.010 AY:0.088 AZ:-0.958 | GX:-1.985 GY:-1.176 GZ:1.405 | T:25.05 C
I (641355) mpu6050 stream: AX:-0.001 AY:0.093 AZ:-0.948 | GX:-2.183 GY:-1.221 GZ:1.435 | T:24.95 C
I (641365) mpu6050 stream: AX:-0.005 AY:0.090 AZ:-0.962 | GX:-1.511 GY:-1.206 GZ:1.588 | T:24.95 C
I (641375) mpu6050 stream: AX:-0.009 AY:0.092 AZ:-0.958 | GX:-1.099 GY:-1.160 GZ:1.588 | T:25.05 C
I (641385) mpu6050 stream: AX:-0.013 AY:0.092 AZ:-0.969 | GX:-0.672 GY:-1.115 GZ:1.649 | T:25.05 C
I (641395) mpu6050 stream: AX:-0.015 AY:0.084 AZ:-0.961 | GX:-0.458 GY:-0.809 GZ:1.298 | T:24.95 C
I (641405) mpu6050 stream: AX:-0.010 AY:0.086 AZ:-0.955 | GX:-0.672 GY:-0.718 GZ:1.145 | T:24.95 C
