I (395805) mpu6050 stream: AX:-0.117 AY:0.110 AZ:-0.950 | GX:0.656 GY:0.336 GZ:1.145 | T:25.19 C
I (395815) mpu6050 stream: AX:-0.121 AY:0.109 AZ:-0.948 | GX:0.382 GY:0.473 GZ:1.405 | T:25.09 C
I (395825) mpu6050 stream: AX:-0.116 AY:0.100 AZ:-0.942 | GX:0.061 GY:0.427 GZ:0.992 | T:25.19 C
I (395835) mpu6050 stream: AX:-0.117 AY:0.105 AZ:-0.948 | GX:-0.504 GY:0.244 GZ:1.008 | T:25.19 C
I (395845) mpu6050 stream: AX:-0.122 AY:0.102 AZ:-0.942 | GX:-0.534 GY:0.015 GZ:1.160 | T:25.19 C
I (395855) mpu6050 stream: AX:-0.119 AY:0.105 AZ:-0.952 | GX:-0.260 GY:0.137 GZ:1.023 | T:25.19 C
I (395865) mpu6050 stream: AX:-0.116 AY:0.107 AZ:-0.947 | GX:-0.046 GY:-0.031 GZ:1.130 | T:25.09 C
I (395875) mpu6050 stream: AX:-0.119 AY:0.102 AZ:-0.955 | GX:0.412 GY:-0.015 GZ:1.038 | T:25.19 C
I (395885) mpu6050 stream: AX:-0.117 AY:0.101 AZ:-0.960 | GX:0.718 GY:-0.137 GZ:0.687 | T:25.19 C
I (395895) mpu6050 stream: AX:-0.127 AY:0.102 AZ:-0.953 | GX:0.687 GY:0.076 GZ:0.763 | T:25.19 C
I (395905) mpu6050 stream: AX:-0.119 AY:0.103 AZ:-0.940 | GX:0.702 GY:0.305 GZ:0.763 | T:25.19 C
I (395915) mpu6050 stream: AX:-0.123 AY:0.098 AZ:-0.947 | GX:0.718 GY:0.351 GZ:0.702 | T:25.09 C
I (395925) mpu6050 stream: AX:-0.122 AY:0.098 AZ:-0.948 | GX:0.702 GY:0.061 GZ:0.809 | T:25.28 C
I (395935) mpu6050 stream: AX:-0.114 AY:0.104 AZ:-0.956 | GX:0.412 GY:0.061 GZ:0.809 | T:25.19 C
I (395945) mpu6050 stream: AX:-0.117 AY:0.101 AZ:-0.943 | GX:0.321 GY:-0.122 GZ:0.840 | T:25.19 C
I (395955) mpu6050 stream: AX:-0.121 AY:0.101 AZ:-0.951 | GX:0.397 GY:-0.153 GZ:0.977 | T:25.09 C
I (395965) mpu6050 stream: AX:-0.125 AY:0.096 AZ:-0.943 | GX:0.183 GY:-0.290 GZ:1.023 | T:25.19 C
I (395975) mpu6050 stream: AX:-0.124 AY:0.096 AZ:-0.950 | GX:0.153 GY:-0.229 GZ:1.542 | T:25.19 C
I (395985) mpu6050 stream: AX:-0.120 AY:0.102 AZ:-0.956 | GX:0.244 GY:-0.076 GZ:1.527 | T:25.19 C
I (395995) mpu6050 stream: AX:-0.116 AY:0.095 AZ:-0.958 | GX:0.244 GY:0.290 GZ:1.634 | T:25.09 C
I (396005) mpu6050 stream: AX:-0.123 AY:0.098 AZ:-0.951 | GX:0.183 GY:0.229 GZ:1.573 | T:25.09 C
I (396015) mpu6050 stream: AX:-0.119 AY:0.096 AZ:-0.952 | GX:0.244 GY:0.656 GZ:1.649 | T:25.09 C
I (396025) mpu6050 stream: AX:-0.123 AY:0.097 AZ:-0.963 | GX:0.366 GY:0.702 GZ:1.496 | T:25.19 C
I (396035) mpu6050 stream: AX:-0.118 AY:0.099 AZ:-0.947 | GX:0.458 GY:0.962 GZ:1.435 | T:25.19 C
I (396045) mpu6050 stream: AX:-0.116 AY:0.096 AZ:-0.942 | GX:0.229 GY:0.977 GZ:1.298 | T:25.19 C
