I (548575) mpu6050 stream: AX:-0.057 AY:0.079 AZ:-0.959 | GX:-0.122 GY:-0.504 GZ:1.634 | T:25.05 C
I (548585) mpu6050 stream: AX:-0.057 AY:0.090 AZ:-0.956 | GX:-0.626 GY:-0.763 GZ:1.466 | T:24.95 C
I (548595) mpu6050 stream: AX:-0.062 AY:0.087 AZ:-0.955 | GX:-0.763 GY:-1.145 GZ:1.176 | T:24.95 C
I (548605) mpu6050 stream: AX:-0.070 AY:0.097 AZ:-0.961 | GX:-0.305 GY:-1.832 GZ:1.450 | T:24.86 C
I (548615) mpu6050 stream: AX:-0.062 AY:0.096 AZ:-0.955 | GX:0.336 GY:-1.649 GZ:1.542 | T:25.05 C
I (548625) mpu6050 stream: AX:-0.069 AY:0.086 AZ:-0.951 | GX:1.084 GY:-1.359 GZ:1.832 | T:25.05 C
I (548635) mpu6050 stream: AX:-0.064 AY:0.084 AZ:-0.961 | GX:1.985 GY:-1.038 GZ:2.046 | T:25.00 C
I (548645) mpu6050 stream: AX:-0.070 AY:0.075 AZ:-0.967 | GX:1.802 GY:-0.885 GZ:1.634 | T:25.00 C
I (548655) mpu6050 stream: AX:-0.075 AY:0.075 AZ:-0.968 | GX:0.931 GY:-0.351 GZ:1.603 | T:25.00 C
I (548665) mpu6050 stream: AX:-0.065 AY:0.076 AZ:-0.956 | GX:-0.489 GY:-0.443 GZ:1.160 | T:24.91 C
I (548675) mpu6050 stream: AX:-0.067 AY:0.078 AZ:-0.959 | GX:-2.611 GY:-0.733 GZ:1.389 | T:25.00 C
I (548685) mpu6050 stream: AX:-0.065 AY:0.079 AZ:-0.952 | GX:-2.519 GY:-0.885 GZ:1.191 | T:25.00 C
I (548695) mpu6050 stream: AX:-0.065 AY:0.090 AZ:-0.949 | GX:-1.649 GY:-0.763 GZ:1.176 | T:25.00 C
I (548705) mpu6050 stream: AX:-0.073 AY:0.089 AZ:-0.953 | GX:-0.260 GY:-0.534 GZ:1.023 | T:25.00 C
I (548715) mpu6050 stream: AX:-0.069 AY:0.089 AZ:-0.950 | GX:0.290 GY:-0.107 GZ:0.947 | T:24.91 C
I (548725) mpu6050 stream: AX:-0.060 AY:0.077 AZ:-0.952 | GX:0.122 GY:-0.076 GZ:0.809 | T:24.91 C
I (548735) mpu6050 stream: AX:-0.063 AY:0.085 AZ:-0.948 | GX:-0.275 GY:-0.397 GZ:0.534 | T:24.91 C
I (548745) mpu6050 stream: AX:-0.064 AY:0.082 AZ:-0.958 | GX:-0.779 GY:-0.947 GZ:0.519 | T:25.00 C
I (548755) mpu6050 stream: AX:-0.065 AY:0.084 AZ:-0.955 | GX:-1.267 GY:-1.221 GZ:0.214 | T:24.91 C
I (548765) mpu6050 stream: AX:-0.066 AY:0.084 AZ:-0.953 | GX:-1.023 GY:-0.931 GZ:-0.107 | T:25.00 C
I (548775) mpu6050 stream: AX:-0.070 AY:0.078 AZ:-0.953 | GX:-0.458 GY:-1.084 GZ:-0.321 | T:25.00 C
I (5487850 GY:-0.305 GZ:0.840 | T:25.05 C
I (551025) mpu6050 stream: AX:-0.075 AY:0.091 AZ:-0.962 | GX:-1.496 GY:-0.443 GZ:0.824 | T:24.95 C
I (551035) mpu6050 stream: AX:-0.080 AY:0.100 AZ:-0.956 | GX:-0.748 GY:-0.565 GZ:0.779 | T:24.95 C
I (551045) mpu6050 stream: AX:-0.085 AY:0.097 AZ:-0.952 | GX:0.504 GY:-0.504 GZ:0.885 | T:24.95 C
I (551055) mpu6050 stream: AX:-0.078 AY:0.099 AZ:-0.952 | GX:1.725 GY:-0.748 GZ:1.176 | T:24.86 C
I (551065) mpu6050 stream: AX:-0.086 AY:0.088 AZ:-0.955 | GX:2.076 GY:-0.397 GZ:1.374 | T:24.95 C
I (551075) mpu6050 stream: AX:-0.089 AY:0.075 AZ:-0.956 | GX:1.405 GY:-0.672 GZ:1.282 | T:24.86 C
I (551085) mpu6050 stream: AX:-0.085 AY:0.083 AZ:-0.959 | GX:-0.061 GY:-0.748 GZ:1.237 | T:25.05 C
I (551095) mpu6050 stream: AX:-0.083 AY:0.082 AZ:-0.956 | GX:-1.679 GY:-0.763 GZ:1.099 | T:25.05 C
