I (365785) mpu6050 stream: AX:-0.080 AY:0.078 AZ:-0.953 | GX:-0.595 GY:-0.794 GZ:0.580 | T:25.19 C
I (365795) mpu6050 stream: AX:-0.086 AY:0.077 AZ:-0.962 | GX:-0.504 GY:-0.977 GZ:0.412 | T:25.09 C
I (365805) mpu6050 stream: AX:-0.081 AY:0.089 AZ:-0.958 | GX:-0.412 GY:-0.656 GZ:0.153 | T:25.19 C
I (365815) mpu6050 stream: AX:-0.078 AY:0.089 AZ:-0.952 | GX:-0.382 GY:-0.794 GZ:0.046 | T:25.19 C
I (365825) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.954 | GX:-0.076 GY:-0.550 GZ:0.015 | T:25.19 C
I (365835) mpu6050 stream: AX:-0.088 AY:0.083 AZ:-0.951 | GX:0.153 GY:-0.565 GZ:0.122 | T:25.19 C
I (365845) mpu6050 stream: AX:-0.081 AY:0.083 AZ:-0.953 | GX:0.061 GY:-0.641 GZ:0.244 | T:25.19 C
I (365855) mpu6050 stream: AX:-0.083 AY:0.080 AZ:-0.954 | GX:-0.015 GY:-0.962 GZ:0.092 | T:25.19 C
I (365865) mpu6050 stream: AX:-0.088 AY:0.083 AZ:-0.960 | GX:0.031 GY:-0.840 GZ:0.214 | T:25.19 C
I (365875) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.959 | GX:0.061 GY:-0.718 GZ:0.290 | T:25.19 C
I (365885) mpu6050 stream: AX:-0.083 AY:0.085 AZ:-0.953 | GX:-0.031 GY:-0.779 GZ:0.397 | T:25.19 C
I (365895) mpu6050 stream: AX:-0.080 AY:0.079 AZ:-0.953 | GX:0.000 GY:-0.580 GZ:0.321 | T:25.19 C
I (365905) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.957 | GX:-0.198 GY:-0.641 GZ:0.519 | T:25.09 C
I (365915) mpu6050 stream: AX:-0.084 AY:0.080 AZ:-0.960 | GX:-0.214 GY:-0.580 GZ:0.626 | T:25.28 C
I (365925) mpu6050 stream: AX:-0.085 AY:0.077 AZ:-0.956 | GX:-0.153 GY:-0.641 GZ:0.611 | T:25.19 C
I (365935) mpu6050 stream: AX:-0.083 AY:0.079 AZ:-0.956 | GX:0.000 GY:-0.656 GZ:0.504 | T:25.09 C
I (365945) mpu6050 stream: AX:-0.081 AY:0.083 AZ:-0.960 | GX:-0.061 GY:-0.137 GZ:0.504 | T:25.09 C
I (365955) mpu6050 stream: AX:-0.086 AY:0.080 AZ:-0.950 | GX:-0.229 GY:0.046 GZ:0.550 | T:25.19 C
I (365965) mpu6050 stream: AX:-0.082 AY:0.077 AZ:-0.955 | GX:-0.168 GY:-0.168 GZ:0.550 | T:25.19 C
I (365975) mpu6050 stream: AX:-0.083 AY:0.071 AZ:-0.957 | GX:-0.504 GY:-0.443 GZ:0.519 | T:25.19 C
I (365985) mpu6050 stream: AX:-0.078 AY:0.083 AZ:-0.961 | GX:-1.038 GY:-0.244 GZ:0.321 | T:25.19 C
I (365995) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.953 | GX:-0.947 GY:-0.092 GZ:0.366 | T:25.24 C
I (366005) mpu6050 stream: AX:-0.078 AY:0.091 AZ:-0.947 | GX:0.153 GY:-0.626 GZ:0.458 | T:25.14 C
I (366015) mpu6050 stream: AX:-0.074 AY:0.092 AZ:-0.948 | GX:1.328 GY:-0.809 GZ:0.443 | T:25.24 C
