I (303755) mpu6050 stream: AX:-0.160 AY:0.093 AZ:-0.948 | GX:-0.260 GY:-0.611 GZ:1.802 | T:25.28 C
I (303765) mpu6050 stream: AX:-0.165 AY:0.089 AZ:-0.938 | GX:0.092 GY:-0.504 GZ:1.786 | T:25.28 C
I (303775) mpu6050 stream: AX:-0.161 AY:0.083 AZ:-0.933 | GX:0.229 GY:-0.733 GZ:1.603 | T:25.28 C
I (303785) mpu6050 stream: AX:-0.161 AY:0.090 AZ:-0.931 | GX:0.046 GY:-1.450 GZ:1.542 | T:25.38 C
I (303795) mpu6050 stream: AX:-0.160 AY:0.084 AZ:-0.940 | GX:-0.351 GY:-1.939 GZ:1.298 | T:25.28 C
I (303805) mpu6050 stream: AX:-0.167 AY:0.082 AZ:-0.940 | GX:-0.840 GY:-2.000 GZ:1.099 | T:25.28 C
I (303815) mpu6050 stream: AX:-0.161 AY:0.085 AZ:-0.945 | GX:-1.191 GY:-1.802 GZ:0.763 | T:25.19 C
I (303825) mpu6050 stream: AX:-0.167 AY:0.088 AZ:-0.946 | GX:-1.160 GY:-1.634 GZ:0.687 | T:25.19 C
I (303835) mpu6050 stream: AX:-0.157 AY:0.092 AZ:-0.946 | GX:-0.824 GY:-1.450 GZ:0.534 | T:25.19 C
I (303845) mpu6050 stream: AX:-0.160 AY:0.092 AZ:-0.951 | GX:-0.656 GY:-1.756 GZ:0.351 | T:25.28 C
I (303855) mpu6050 stream: AX:-0.176 AY:0.098 AZ:-0.955 | GX:-0.458 GY:-1.176 GZ:0.550 | T:25.28 C
I (303865) mpu6050 stream: AX:-0.166 AY:0.096 AZ:-0.956 | GX:-0.198 GY:-1.038 GZ:0.458 | T:25.28 C
I (303875) mpu6050 stream: AX:-0.164 AY:0.098 AZ:-0.950 | GX:-0.260 GY:-0.733 GZ:0.763 | T:25.28 C
I (303885) mpu6050 stream: AX:-0.168 AY:0.094 AZ:-0.952 | GX:-0.305 GY:-0.061 GZ:0.977 | T:25.28 C
I (303895) mpu6050 stream: AX:-0.167 AY:0.085 AZ:-0.945 | GX:-0.489 GY:0.031 GZ:0.947 | T:25.28 C
I (303905) mpu6050 stream: AX:-0.163 AY:0.094 AZ:-0.942 | GX:-0.931 GY:-0.031 GZ:0.855 | T:25.19 C
I (303915) mpu6050 stream: AX:-0.165 AY:0.100 AZ:-0.942 | GX:-0.885 GY:-0.779 GZ:1.008 | T:25.19 C
I (303925) mpu6050 stream: AX:-0.162 AY:0.098 AZ:-0.943 | GX:-0.443 GY:-0.611 GZ:1.221 | T:25.28 C
I (303935) mpu6050 stream: AX:-0.171 AY:0.094 AZ:-0.949 | GX:-0.031 GY:-0.382 GZ:1.282 | T:25.28 C
I (303945) mpu6050 stream: AX:-0.171 AY:0.096 AZ:-0.957 | GX:0.427 GY:0.260 GZ:1.542 | T:25.28 C
I (303955) mpu6050 stream: AX:-0.170 AY:0.092 AZ:-0.948 | GX:0.763 GY:1.053 GZ:1.450 | T:25.28 C
I (303965) mpu6050 stream: AX:-0.163 AY:0.090 AZ:-0.949 | GX:0.656 GY:1.084 GZ:1.450 | T:25.28 C
I (303975) mpu6050 stream: AX:-0.164 AY:0.088 AZ:-0.943 | GX:0.305 GY:1.267 GZ:1.603 | T:25.28 C
I (303985) mpu6050 stream: AX:-0.163 AY:0.092 AZ:-0.935 | GX:-0.183 GY:1.084 GZ:1.603 | T:25.19 C
I (303995) mpu6050 stream: AX:-0.158 AY:0.087 AZ:-0.930 | GX:-0.427 GY:0.947 GZ:1.771 | T:25.33 C
I (304005) mpu6050 stream: AX:-0.159 AY:0.088 AZ:-0.937 | GX:-0.214 GY:0.366 GZ:1.725 | T:25.19 C
I (304015) mpu6050 stream: AX:-0.162 AY:0.089 AZ:-0.938 | GX:-0.046 GY:0.504 GZ:1.740 | T:25.33 C
I (304025) mpu6050 stream: AX:-0.168 AY:0.087 AZ:-0.941 | GX:0.427 GY:0.153 GZ:1.542 | T:25.28 C
I (304035) mpu6050 stream: AX:-0.161 AY:0.086 AZ:-0.943 | GX:0.366 GY:-0.092 GZ:1.511 | T:25.33 C
I (304045) mpu6050 stream: AX:-0.162 AY:0.087 AZ:-0.937 | GX:0.061 GY:-0.275 GZ:1.420 | T:25.33 C
