I (652825) mpu6050 stream: AX:0.018 AY:0.074 AZ:-0.966 | GX:-0.412 GY:-0.214 GZ:0.351 | T:25.05 C
I (652835) mpu6050 stream: AX:0.025 AY:0.074 AZ:-0.964 | GX:-0.443 GY:-0.137 GZ:0.351 | T:25.05 C
I (652845) mpu6050 stream: AX:0.024 AY:0.076 AZ:-0.960 | GX:-0.321 GY:-0.198 GZ:0.473 | T:25.05 C
I (652855) mpu6050 stream: AX:0.027 AY:0.074 AZ:-0.954 | GX:-0.397 GY:-0.290 GZ:0.504 | T:25.05 C
I (652865) mpu6050 stream: AX:0.025 AY:0.076 AZ:-0.954 | GX:-0.137 GY:-0.412 GZ:0.733 | T:24.95 C
I (652875) mpu6050 stream: AX:0.025 AY:0.083 AZ:-0.958 | GX:-0.015 GY:-0.092 GZ:0.931 | T:25.05 C
I (652885) mpu6050 stream: AX:0.026 AY:0.075 AZ:-0.962 | GX:-0.061 GY:-0.214 GZ:0.824 | T:24.95 C
I (652895) mpu6050 stream: AX:0.025 AY:0.073 AZ:-0.959 | GX:-0.168 GY:-0.046 GZ:0.550 | T:24.95 C
I (652905) mpu6050 stream: AX:0.025 AY:0.073 AZ:-0.960 | GX:-0.305 GY:-0.260 GZ:0.565 | T:24.95 C
I (652915) mpu6050 stream: AX:0.029 AY:0.072 AZ:-0.970 | GX:-0.702 GY:-0.168 GZ:0.641 | T:24.95 C
I (652925) mpu6050 stream: AX:0.023 AY:0.082 AZ:-0.978 | GX:-1.328 GY:-0.305 GZ:0.611 | T:24.86 C
I (652935) mpu6050 stream: AX:0.028 AY:0.084 AZ:-0.972 | GX:-1.221 GY:0.031 GZ:0.504 | T:25.05 C
I (652945) mpu6050 stream: AX:0.016 AY:0.091 AZ:-0.959 | GX:-0.229 GY:-0.412 GZ:0.641 | T:24.86 C
I (652955) mpu6050 stream: AX:0.023 AY:0.089 AZ:-0.963 | GX:1.267 GY:-0.412 GZ:0.901 | T:24.95 C
I (652965) mpu6050 stream: AX:0.022 AY:0.089 AZ:-0.949 | GX:2.214 GY:-0.382 GZ:1.191 | T:24.86 C
I (652975) mpu6050 stream: AX:0.024 AY:0.073 AZ:-0.958 | GX:2.550 GY:-0.153 GZ:1.527 | T:24.86 C
I (652985) mpu6050 stream: AX:0.026 AY:0.064 AZ:-0.959 | GX:1.756 GY:-0.198 GZ:1.588 | T:25.05 C
I (652995) mpu6050 stream: AX:0.024 AY:0.067 AZ:-0.968 | GX:0.214 GY:-0.427 GZ:1.649 | T:25.05 C
I (653005) mpu6050 stream: AX:0.019 AY:0.067 AZ:-0.962 | GX:-0.977 GY:-0.321 GZ:1.649 | T:24.95 C
I (653015) mpu6050 stream: AX:0.025 AY:0.073 AZ:-0.962 | GX:-1.908 GY:-0.656 GZ:1.664 | T:24.95 C
I (653025) mpu6050 stream: AX:0.019 AY:0.077 AZ:-0.950 | GX:-2.046 GY:-0.504 GZ:1.985 | T:24.95 C
I (653035) mpu6050 stream: AX:0.029 AY:0.073 AZ:-0.954 | GX:-1.313 GY:-0.489 GZ:1.954 | T:25.05 C
I (653045) mpu6050 stream: AX:0.027 AY:0.073 AZ:-0.961 | GX:-0.443 GY:-0.718 GZ:2.046 | T:24.95 C
I (653055) mpu6050 stream: AX:0.018 AY:0.072 AZ:-0.964 | GX:0.046 GY:-0.504 GZ:1.954 | T:24.86 C
I (653065) mpu6050 stream: AX:0.021 AY:0.066 AZ:-0.962 | GX:0.015 GY:-0.397 GZ:1.832 | T:24.95 C
I (653075) mpu6050 stream: AX:0.017 AY:0.0GX:0.611 GY:0.473 GZ:1.115 | T:25.00 C
I (653305) mpu6050 stream: AX:0.019 AY:0.074 AZ:-0.972 | GX:0.443 GY:0.595 GZ:0.992 | T:24.91 C
I (653315) mpu6050 stream: AX:0.027 AY:0.066 AZ:-0.967 | GX:0.321 GY:0.794 GZ:0.901 | T:25.00 C
I (653325) mpu6050 stream: AX:0.023 AY:0.077 AZ:-0.957 | GX:-0.137 GY:0.916 GZ:0.580 | T:24.91 C
I (653335) mpu6050 stream: AX:0.021 AY:0.077 AZ:-0.963 | GX:0.061 GY:0.977 GZ:0.931 | T:25.00 C
I (653345) mpu6050 stream: AX:0.024 AY:0.073 AZ:-0.963 | GX:-0.031 GY:0.947 GZ:0.733 | T:24.91 C
I (653355) mpu6050 stream: AX:0.026 AY:0.075 AZ:-0.961 | GX:-0.061 GY:0.916 GZ:0.947 | T:25.00 C
I (653365) mpu6050 stream: AX:0.025 AY:0.081 AZ:-0.959 | GX:-0.137 GY:1.221 GZ:1.023 | T:25.00 C
I (653375) mpu6050 stream: AX:0.028 AY:0.076 AZ:-0.957 | GX:-0.305 GY:0.794 GZ:1.328 | T:25.00 C
I (653385) mpu6050 stream: AX:0.021 AY:0.080 AZ:-0.966 | GX:-0.351 GY:1.221 GZ:1.435 | T:25.00 C
I (653395) mpu6050 stream: AX:0.024 AY:0.076 AZ:-0.962 | GX:-0.397 GY:1.115 GZ:1.405 | T:24.91 C
I (653405) mpu6050 stream: AX:0.026 AY:0.073 AZ:-0.963 | GX:-0.198 GY:1.221 GZ:1.481 | T:24.91 C
I (653415) mpu6050 stream: AX:0.023 AY:0.078 AZ:-0.948 | GX:-0.290 GY:1.313 GZ:1.481 | T:25.00 C
I (653425) mpu6050 stream: AX:0.025 AY:0.079 AZ:-0.954 | GX:-0.046 GY:1.252 GZ:1.557 | T:25.00 C
I (653435) mpu6050 stream: AX:0.025 AY:0.069 AZ:-0.954 | GX:-0.244 GY:1.115 GZ:1.466 | T:25.00 C
I (653445) mpu6050 stream: AX:0.030 AY:0.070 AZ:-0.953 | GX:-0.382 GY:0.977 GZ:1.069 | T:25.09 C
I (653455) mpu6050 stream: AX:0.031 AY:0.068 AZ:-0.953 | GX:-0.489 GY:0.870 GZ:0.916 | T:24.91 C
I (653465) mpu6050 stream: AX:0.027 AY:0.075 AZ:-0.956 | GX:-0.809 GY:0.550 GZ:0.870 | T:25.00 C
